strain,ratio,before_wash,sem
JB1117,0.5496602437943953,66.53390946502059,0.1715782675841429
JB1154,0.17253286133084567,59.76425925925926,0.12789202602947505
JB1171,0.1710958771890544,53.80224279835391,0.11695170965088517
JB1174,0.18998706328744844,55.39637860082305,0.09214766710328053
JB1180,0.15608554389704613,69.49574074074074,0.0597468012484485
JB1205,0.05765898349796036,51.71469135802469,0.019021213384493762
JB1206,0.050661548119929345,58.1075720164609,0.0156384053654394
JB1207,0.036576223042227324,55.18738683127572,0.016831298221795514
JB22,0.09963953623226358,49.126172839506175,0.018632435943537456
JB4,0.15372454629008522,64.53106995884774,0.03518032244629421
JB50,0.09350579226613502,59.18167901234567,0.04581615425268923
JB758,0.05132023089485166,63.03183127572016,0.004787072679212825
JB759,0.33775879145797777,53.69177777777777,0.0229825329952311
JB762,0.04399308721907356,57.857427983539104,0.023187225773572497
JB837,0.06348807174318215,58.64485596707819,0.015936625747638797
JB838,0.12428620143560669,64.63664609053498,0.023738454239909067
JB840,0.09774648003526126,64.77755144032922,0.017573424127038707
JB841,0.0901625204722015,69.44985185185185,0.009638960913195495
JB842,0.12662404855714002,67.07290123456791,0.02847035778505167
JB845,0.0422738647680251,62.39343621399177,0.017872087915153802
JB846,0.1156933459393616,63.36965020576131,0.04185721993819694
JB848,0.3384144271873259,63.50218106995885,0.14530349340201842
JB852,0.18529344818523022,60.21713991769547,0.13263518202476257
JB853,0.07420724028990329,61.44640211640212,0.0110447513384502
JB854,0.05886879120627816,58.79205761316873,0.010529471961128007
JB858,0.16170984842854383,54.218086419753085,0.05085214006835636
JB862,0.043539449589958666,53.93230452674897,0.014429799599343545
JB869,0.34089087078448427,53.60539094650206,0.054865707383999596
JB870,0.19692026553519001,57.43351851851852,0.10428397427921203
JB872,0.5778509179601486,59.90257201646091,0.10741661944772643
JB873,0.04012079283856837,64.31187242798354,0.024814152601228486
JB874,0.13011319227510723,65.62989711934156,0.08150830963680818
JB875,0.13926899522446634,57.19388888888889,0.03971982788347298
JB878,0.021316411695165804,66.71942386831275,0.006558981147763053
JB879,0.07005692183693912,62.55475308641976,0.009303487103993527
JB884,0.04127060407575859,56.54242798353909,0.013039547571654462
JB899,0.20989230933858852,57.333786008230454,0.15875876677881332
JB900,0.22496643748099118,52.241954732510294,0.15298292987036882
JB902,0.18999905772103934,49.824300411522636,0.09229690150217391
JB910,0.39439351481913115,40.63425925925926,0.1255932444226
JB913,0.19009026233624318,62.80415637860082,0.03398270814061872
JB914,0.9364083687840986,49.690514403292184,0.0591384785248038
JB916,0.14302304767390558,69.07119341563786,0.042211626714971945
JB917,0.11525798482495679,67.96300411522633,0.043387538528165216
JB918,0.050187029419965966,69.42012345679012,0.013975603097252758
JB929,0.05533035102407893,66.47374485596708,0.018085998196914352
JB930,0.09525332841865662,59.51532921810699,0.06901454573757033
JB931,0.18479034706146993,56.88104938271605,0.10231869343869708
JB934,0.6088185345729847,42.970864197530865,0.09684448684617235
JB938,0.271835103298191,58.56713991769547,0.09305862274681848
JB939,0.2416501146677893,60.16179012345679,0.12292151258901776
JB942,0.0671463213512145,52.04292181069959,0.018928297643233668
JB943,0.07957023248947327,68.36,0.015051457469301461
JB953,0.3268133316425865,56.7790329218107,0.09925702754493655
