0,1,2,3,4,5,6,7,8,9,10,11
780.3-2,1460.2-2,972,59.3-1,900.3-2,190.2-2,389.3-2,996.3-2,352::Nat_h-_(2),59.4-2,30.5-2,972.0
917.2-1,37.2-2,410.3-2,399.3-1,426.2-1,pka1D,86.3-1,1039.2-2,236.2-1,pka1D,1443.2-1,972.0
400.2-1,289.2-1,1326.2-2,51.4-2,51.3-1,538.3-2,1562.2-1,1165.1-1,1165.2-2,463.3-1,1443.2-2,972.0
289.3-2,989.3-1,410.2-2,414.1-2,972,cds1D,1348.2-1,1348.2-2,784.2-1,1559.3-1,1088.2-2,972.0
900.2-2_h90,1415.2-1,745.3-2,137.3-2,1234.2-1,1361.3-2,1234.2-2,177.4-1,1122.2-1,1130.3-2,86.2-1,972.0
130.3-1,524.3-1,515.3-2,538.2-1,282.3-2,242.2-2,402.2-2,819.3-2,239.2-2,1326.3-2,188.3-1,972.0
46.3-2,1460.3-2,382.2-1,1372.3-1,86.2-2,737.3-2,383.2-1,900.2-1_h90,507.3-2,cds1D,1415.2-2,972.0
87.3-1,463.2-2,248.3-1,383.3-2,256.3-1,401.2-1,1122.3-2,87.2-2,767.2-2,1164.2-2,1530.2-2,972.0
