0,1,2,3,4,5,6,7,8,9,10,11
130.3-2,745.2-2,352::Nat_h-_(1),534.2-1,190.3-1,388.3-1,1255.3-2,26.2-1,1234.3-2,115.2-1,974.2-2,972.0
175.2-2,323.3-1,90.2-1,389.3-1,1670.3-1,507.3-1,534.3-2,972,1064.3-1,1530.2-1,335.2-2,972.0
934.1-2,1609:hyg,pka1D,738.2-2,1326.3-1,1249.2-1,1064.1-1,1624.3-1,1255.3-1,103.2-2,475.3-2,972.0
934.2-1,meu3:nat,30.5-1,601.3-1,51.4-1,79.3-2,414.1-1,187.2-2,452.2-1,137.2-2,1559.3-2,972.0
1122.2-2,1064.2-2,189.3-1,86.3-2,cds1D,808.3-2,900.3-1,87.2-1,515.2-1,1.3-2,1562.2-2,972.0
37.2-1,974.3-1,pka1D,79.4-2,1164.1-1,507.2-1,1088.3-2,175.3-1,239.3-1,30.4-2,30.4-1,972.0
335.3-2,1130.3-1,808.2-1,194.3-2,31.3-1,601.3-2,51.3-2,1.3-1,974.3-2,1064.3-2,1562.3-2,972.0
972,972,972,972,972,972,972,972,972,972,972,972.0
