0,1,2,3,4,5,6,7,8,9,10,11
534.3-1,282.2-2,628.3-2,972,996.2-2,414.3-2,934.3-1,103.3-1,1562.3-1,meu19:nat,1164.1-2,720.3-1
175.3-2,745.2-1,115.3-1,972,1255.2-2,738.2-1,335.3-1,767.2-1,cds1D,524.3-2,778.2-2,1088.3-1
1372.2-1,168.3-2,pka1D,145.3-1,145.2-2,767.3-1,784.2-2,1130.2-1,475.2-1,254.2-2,414.2-1,784.3-2
256.2-2,1519.2-1,31.3-2,414.2-2,282.2-1,meu3:hyg,cds1D,452.2-2,1670.2-2,79.4-1,190:hyg,780.3-1
103.1-1,90.2-2,819.2-2,917.2-2,pka1D,1064.1-2,388.2-2,1278:nat,972,972,115.2-2,1039.3-2
972,130.2-2,389.2-1,194.2-1,1415.3-1,1164.3-2,996.2-1,189.3-2,239.2-1,1559.2-1,399.2-1,377.2-1
79.3-1,778.2-1,12.3-2,808.3-1,12.3-1,421.2-1,996.3-1,meu19:hyg,507.2-2,1278:hyg,130.2-1,cds1D
972,972,972,972,972,972,972,972,972,972,972,972
