0,1,2,3,4,5,6,7,8,9,10,11
145.3-2,1125.3-2,1166.2-1,780.2-1,289.3-1,1361.3-1,972,190.3-2,pka1D,cds1D,781.2-2,972.0
pka1D,1670.2-1,421.2-2,188.3-2,1343.3-1,524.2-1,400.2-2,402.2-1,781.2-1,1130.2-2,1624.2-1,972.0
780.2-2,1696.2-1,989.3-2new,90.3-1,989.3-2,401.2-2,452.3-2,1088.2-1,382.2-2,427.3-1,781.3-1,972.0
974.2-1,412.3-1,463.2-1,meu19:hyg,1443.1-1,256.3-2,248.4-1,377.2-2,cds1D,90.3-2,177.3-1,972.0
h90-780.3-2,934.2-1,h90-538.3-2,h90-1530.2-2,h90-781.3-1,h90-1670.2-2,h90-388.3-2,h90-401.3-2,159.3-2,h90-388.2-2,h90-934.1-2,972.0
1559.2-1,Eta2:Nat_h-,1609:nat,h90-1039.3-1,524.2-2,h90-1348.3-2,972,463.2-2,h90-31.4-2,h90-974.2-1,1443.1-2,972.0
383.3-1,538.3-1,h90-401.3-1,738.3-1,352::Nat_h-_(2),463.3-2,h90-780.3-1,h90-965.3-1,h90-46.2-2,1609:hyg,46.2-1,972.0
972,972,972,972,972,972,972,972,972,972,972,972.0
