"","gene","wt1","wt2","fkh2d_1","fkh2d_2","fkh2-S2A_1","fkh2-S2A_2","wt_mean","fkh2d_mean","fkh2s2a_mean","wt_fkh2d","wt_fkh2s2a","fkh2d_fkh2s2a"
"1769308_at","YKR009C",-0.764006156363631,0.847743765571918,0.0317750081464251,1.44105576929323,2.47383981332651,0.094226245189171,0.0418688046041435,0.736415388719828,1.28403302925784,0.694546584115685,1.2421642246537,0.547617640538011
"1769309_at","SPBC1105.11c",12.8755765009173,12.9975822245286,12.9518053259264,12.8846218645247,12.818152309224,12.723895964077,12.936579362723,12.9182135952256,12.7710241366505,-0.0183657674974036,-0.165555226072463,-0.14718945857506
"1769310_at","SPCC18.05c",11.5176956221065,11.7111872355302,10.2832747076825,9.94590123611465,11.3165992204399,11.501608233819,11.6144414288183,10.1145879718986,11.4091037271295,-1.49985345691972,-0.205337701688858,1.29451575523086
"1769311_at","YDL157C",-0.750824810538068,0.196160673737044,-0.343521005380578,-0.757971695662084,0.0650807614909492,-0.602258984209502,-0.277332068400512,-0.550746350521331,-0.268589111359276,-0.273414282120819,0.00874295704123584,0.282157239162055
"1769312_at","YER059W",-0.635510657592959,-0.808900837213541,0.798146926754042,-1.10869140890517,2.83101772468459,-0.659635722584568,-0.72220574740325,-0.155272241075563,1.08569100105001,0.566933506327687,1.80789674845326,1.24096324212558
"1769313_at","YGL059W",2.23384318998027,2.05564166837032,2.74233797759123,2.08523422113122,2.29933683307907,2.6720333224251,2.14474242917529,2.41378609936122,2.48568507775208,0.269043670185929,0.34094264857679,0.0718989783908608
"1769314_at","YDR481C",2.58288406234087,3.43983255560232,0.705608349075811,3.10699916586155,0.477807076370416,2.8158372505879,3.0113583089716,1.90630375746868,1.64682216347916,-1.10505455150292,-1.36453614549244,-0.25948159398952
"1769315_at","SPBC32H8.10",8.00933600539799,7.54297088740847,8.39214977803005,8.51805721915808,8.47179001015452,8.64190654031288,7.77615344640323,8.45510349859406,8.5568482752337,0.678950052190835,0.780694828830471,0.101744776639636
"1769316_s_at","SPAC750.05c",10.3580946312731,10.2448585419634,10.4649114719255,10.5835276726494,10.8228874132391,10.94222909865,10.3014765866183,10.5242195722874,10.8825582559446,0.22274298566918,0.581081669326297,0.358338683657117
"1769317_at","YML113W",2.21808603450002,3.07923004348058,2.23482268193979,2.69493919680206,1.44888889861364,-0.0782508022786581,2.6486580389903,2.46488093937093,0.685319048167491,-0.183777099619373,-1.96333899082281,-1.77956189120344
"1769318_at","SPCC830.06",10.9745566156938,11.0592328111284,10.9707600139272,10.9728802433899,10.909265298898,10.8529660122768,11.0168947134111,10.9718201286585,10.8811156555874,-0.0450745847525571,-0.135779057823706,-0.090704473071149
"1769319_at","YIL157C",1.95351669720229,1.61414317645793,1.301025087817,0.410555478851999,1.39183315719342,2.41459938626378,1.78382993683011,0.855790283334497,1.9032162717286,-0.928039653495614,0.119386334898491,1.0474259883941
"1769320_at","YPR003C",-0.639450576006788,3.07014271813277,-1.20715683672606,0.524212313693183,0.103408009972852,-0.933976642337141,1.21534607106299,-0.341472261516436,-0.415284316182144,-1.55681833257943,-1.63063038724514,-0.0738120546657081
"1769321_at","YNR074C",3.24523860531028,0.800576993013012,1.16564370389557,0.0193965833439576,1.25321680686744,0.729823343372739,2.02290779916164,0.592520143619762,0.991520075120092,-1.43038765554188,-1.03138772404155,0.39899993150033
"1769322_s_at","YLR154C-H",3.70310878301341,3.57683856124036,3.54421931662832,4.19198455538119,1.0661905144982,3.88410573834485,3.63997367212688,3.86810193600476,2.47514812642153,0.228128263877874,-1.16482554570536,-1.39295380958323
"1769323_at","YKL012W",2.33977991675425,1.11187789941419,-0.164957307437403,1.60108192461837,2.52616393794619,1.65056048384793,1.72582890808422,0.718062308590484,2.08836221089706,-1.00776659949374,0.362533302812837,1.37029990230658
"1769324_at","YJL147C",2.41126719841696,3.06440912637314,2.00358950771632,-1.15961977762182,3.25211805390215,2.67256491528093,2.73783816239505,0.421984865047253,2.96234148459154,-2.3158532973478,0.224503322196488,2.54035661954429
"1769325_at","YDL216C",-1.05469898134137,-0.133546501713803,1.66789947350602,-1.68982272217296,-1.12228409417339,-2.39512991747269,-0.594122741527587,-0.01096162433347,-1.75870700582304,0.583161117194117,-1.16458426429545,-1.74774538148957
"1769326_at","SPBC1105.05",11.9521988040351,12.1413802468023,11.9637873167402,11.9230973365986,12.1243784451731,12.3021169970374,12.0467895254187,11.9434423266694,12.2132477211053,-0.103347198749322,0.166458195686548,0.26980539443587
"1769327_at","SPCC1840.01c",9.73168992259362,9.57781738240615,9.79678360971204,9.76331181049634,9.75832462307122,9.70795663227954,9.65475365249988,9.78004771010419,9.73314062767538,0.125294057604309,0.0783869751754978,-0.0469070824288114
"1769328_at","SPCC895.03c",8.47509867322923,8.1930110394797,7.74758374578571,7.91585986309169,8.60157299609792,8.925796952145,8.33405485635446,7.8317218044387,8.76368497412146,-0.502333051915765,0.429630117766997,0.931963169682763
"1769329_at","YNL320W",2.71522728409537,0.743789217709927,-0.230072547580967,-0.360141959575805,-1.19827614693822,-0.967799021900353,1.72950825090265,-0.295107253578386,-1.08303758441929,-2.02461550448103,-2.81254583532194,-0.787930330840903
"1769330_at","SPBC428.08c",5.95016744447054,6.16378258232414,7.22068690207696,7.34591741217041,6.00955694126992,5.8373763065253,6.05697501339734,7.28330215712368,5.92346662389761,1.22632714372634,-0.133508389499736,-1.35983553322608
