"","gene","p_val","WT1","WT2","WT3","rpl3201_1","rpl3201_2","rpl3201_3","rpl3202_1","rpl3202_2","rpl3202_3","wt_mean","rpl3201_mean","rpl3202_mean","rpl_mean","wt_rpl3201","wt_rpl3202","rpl3201_rpl3202","wt_rpl"
"1769308_at","YKR009C",0.288708320037779,1.30472700568507,3.36809552624193,-0.534880070563628,-0.617628382121282,-0.904692983385908,-1.164507153072,-0.395904429215459,2.11885337645565,-0.39363931003434,1.37931415378779,-0.895609506193064,0.44310321240195,-0.226253146895557,-2.27492365998086,-0.936210941385843,1.33871271859501,-1.60556730068335
"1769309_at","SPBC1105.11c",0.621348638062407,12.6396505782081,12.9008826581535,12.7491720928725,12.6611197111929,12.9423824742108,12.7635995874736,12.5707257426352,12.8392319562674,12.4768855119978,12.7632351097447,12.7890339242924,12.6289477369668,12.7089908306296,0.0257988145477643,-0.134287372777864,-0.160086187325629,-0.0542442791150499
"1769310_at","SPCC18.05c",0.13566220137463,9.76009514123326,9.80126952521994,10.6924307475421,10.9037256281677,11.0250053350039,10.6584106118535,10.4224996370743,10.5099351034968,11.1561564614805,10.0845984713318,10.8623805250084,10.6961970673506,10.7792887961795,0.777782053676605,0.611598596018792,-0.166183457657812,0.694690324847699
"1769311_at","YDL157C",0.938568241569914,0.293060194884724,3.37321265102057,0.885143557799561,3.51807545252403,1.62661973985313,-0.0426192828762884,-0.330272844756613,1.80164894555377,1.98038162584042,1.51713880123495,1.70069196983362,1.15058590887919,1.42563893935641,0.183553168598671,-0.366552892355759,-0.55010606095443,-0.0914998618785443
"1769312_at","YER059W",0.264866460296174,1.06968658746962,2.05991034636937,0.603419887197375,1.24849907186587,0.294009159430841,1.22792517024196,-0.449772708328468,1.69910784399834,-1.18808798867506,1.24433894034545,0.923477800512888,0.0204157156649381,0.471946758088913,-0.320861139832567,-1.22392322468052,-0.90306208484795,-0.772392182256541
"1769313_at","YGL059W",0.548807986568317,2.89240759037462,3.33019928635682,1.98962821230551,2.8984637244651,3.82669498114436,2.53474829346684,2.29164764985868,3.12971210791172,3.57809495197857,2.73741169634565,3.08663566635877,2.99981823658299,3.04322695147088,0.349223970013117,0.262406540237345,-0.0868174297757718,0.305815255125231
"1769314_at","YDR481C",0.768364637127524,2.32309804832648,1.08781169016633,0.748861229461004,0.831064737917372,3.24091122215188,2.144565578258,-0.489673159287916,0.136511638524984,1.10745477333972,1.38659032265127,2.07218051277575,0.251431084192263,1.16180579848401,0.68559019012448,-1.13515923845901,-1.82074942858349,-0.224784524167263
"1769315_at","SPBC32H8.10",0.0295764590989077,9.41754378825091,9.36441492634846,9.26248706682842,9.06723686959132,9.1816335815116,9.05807327587694,9.15039597547491,9.40441248184212,9.01143835717631,9.34814859380926,9.10231457565995,9.18874893816444,9.1455317569122,-0.245834018149308,-0.159399655644817,0.086434362504491,-0.202616836897063
"1769316_s_at","SPAC750.05c",0.398252979244103,10.7069219987499,10.2317595107172,11.4881529417343,10.3646690690986,10.7446384236973,10.80076816457,10.5248077584768,10.4701924507191,9.53595667100387,10.8089448170671,10.6366918857886,10.1769856267333,10.406838756261,-0.172252931278496,-0.631959190333854,-0.459706259055357,-0.402106060806174
"1769317_at","YML113W",0.538797147804281,2.15309806001086,1.98871208631936,3.50502517090298,0.37887410995823,0.0409460332524408,4.29592380545286,3.2076156878144,3.03900791716437,0.995286479490543,2.5489451057444,1.57191464955451,2.41397002815644,1.99294233885547,-0.97703045618989,-0.134975077587961,0.84205537860193,-0.556002766888925
