SPAC6B12.09,SPAC732.02c,SPAC806.04c,SPAC8F11.10c,SPAC9E9.09c,SPACUNK4.09,SPAPB1A10.14,SPBC1271.06c,SPBC1271.08c,SPBC13E7.06,SPBC16G5.13,SPBC16H5.06
SPBC1709.04c,SPBC18E5.08,SPBC20F10.02c,empty,SPBC215.10,SPBC23E6.01c,SPBC29A10.01,SPBC29A10.05,SPBC29A10.11c,SPBC2A9.07c,SPBC2G5.06c,SPBC32F12.03c
SPBC342.01c,SPBC354.12,SPBC359.04c,SPBC3B9.04,SPBC3H7.11,SPBC685.03,SPBC8E4.02c,SPBC8E4.05c,SPBPB10D8.02c,SPBPB10D8.05c,SPCC1020.06c,SPCC1235.13
SPCC1281.07c,SPCC1450.03,SPCC1620.04c,SPCC1682.14,SPCC1739.06c,SPCC191.09c,SPCC2H8.05c,SPCC31H12.06,SPCC550.08,SPCC584.16c,SPCC613.10,SPCC622.08c
SPCC70.10,SPCC737.06c,SPCC777.06c,SPCC825.05c,SPAC1002.02,SPAC1002.12c,SPAC1002.17c,SPAC1002.18,SPAC1039.02,SPAC11D3.03c,SPAC11G7.04,SPAC12B10.11
SPAC144.04c,SPAC14C4.06c,SPAC17A5.02c,SPAC17G8.11c,SPAC1952.05,SPAC1A6.08c,SPAC20H4.11c,SPAC21E11.03c,SPAC23C4.07,SPAC29A4.18,SPAC31A2.09c,SPAC328.03
SPAC3H8.08c,SPAC4F10.17,SPAC4F8.01,SPAC4F8.03,SPAC4G9.11c,SPAC57A7.07c,SPAC5H10.01,SPAC5H10.12c,SPAC630.04c,SPAC664.12c,SPAC6G10.08,SPAC806.07
SPAC823.05c,SPAC922.04,SPAC977.05c,SPAPB8E5.06c,SPAPYUG7.04c,SPBC1105.02c,SPBC119.03,SPBC1289.13c,SPBC12C2.01c,SPBC15D4.12c,SPBC1604.20c,SPBC1683.11c
