SPBC31F10.15c,SPBC36B7.06c,SPBC409.17c,SPBP4H10.17c,SPBP8B7.28c,SPCC1020.09,SPCC1223.10c,SPCC126.15c,SPCC613.11c,SPCC622.01c,SPCC63.06,SPCC63.13
SPCC645.07,SPAC12G12.13c,SPAC14C4.04,SPAC186.06,SPAC25H1.06,SPAC4A8.07c,empty,SPAC6G9.01c,SPAC869.09,SPAC9.02c,SPAC926.05c,SPAC959.05c
SPAP7G5.05,SPAPB8E5.10,SPBC115.03,SPBC21C3.06,SPBC29A3.08,SPBC3B8.10c,SPBC409.20c,SPBC4F6.10,SPBC651.04,SPBC8D2.04,SPCC11E10.06c,SPCC1795.10c
SPCC777.09c,SPCC965.09,SPCC965.14c,SPAC17A2.07c,SPAC17H9.13c,SPAC22F3.02,SPAC23A1.16c,SPAC31G5.03,SPAC3H5.10,SPAC4D7.06c,SPAC4F10.19c,SPAC57A7.09
SPAC869.07c,SPAC8C9.09c,SPAPJ698.02c,SPBC11C11.01,SPBC15D4.05,SPBC1773.02c,SPBC18H10.10c,SPBC18H10.11c,SPBC18H10.18c,SPBC19C7.01,SPBC2F12.04,SPBC30D10.05c
SPBC32F12.12c,SPCC1235.02,SPCC18.09c,SPCC285.04,SPCC306.02c,SPCC550.11,SPAC1399.04c,SPAC1556.05c,SPAC1687.16c,SPAC17A5.16,SPAC17G8.13c,SPAC1952.17c
SPAC1F7.13c,SPAC23C11.15,SPAC29A4.19c,SPAC3G9.01,SPAC688.12c,SPAC9E9.14,SPAPB8E5.04c,SPBC1347.11,SPBC146.11c,SPBC19G7.03c,SPBC21C3.17c,SPBC21H7.07c
SPBC25H2.11c,SPBC543.08,SPAC22F3.10c,SPCC1322.07c,SPCC1393.05,SPCC297.06c,SPAC11H11.05c,SPAC1687.07,SPAC212.02,SPAC23C11.13c,SPAC31G5.15,SPAP8A3.02c
