SPBC651.11c,SPCC4G3.11,SPAC16E8.12c,SPAC30D11.14c,SPAC4F10.14c,SPAC4F8.08,SPBC1773.09c,SPBC21B10.12,SPCC1494.03,SPAC1610.04,SPAC4G9.12,SPAC664.04c
SPAC926.03,SPBC31F10.17c,SPBC3H7.05c,SPBC3H7.14,SPCC24B10.02c,SPAC18G6.12c,SPAC869.08,SPBC16C6.06,SPCC4G3.17,SPAC1782.02c,SPAC17A5.14,SPAC23C4.09c
SPAC4C5.03,SPBC336.05c,SPAC12G12.15,SPAC1834.04,empty,SPAC26A3.17c,SPAC3H1.08c,SPAC56E4.07,SPBC1539.07c,SPBC32H8.01c,SPBC660.05,SPAC29B12.13
SPCC23B6.05c,SPCC338.02,SPAC1556.08c,SPAC5H10.07,SPCC1322.06,SPCC364.03,SPAC27D7.04,SPBC18H10.16,SPAC26F1.05,SPBC887.18c,SPCC1450.12,SPAC4H3.05
SPAC8E11.06,SPBC106.04,SPBC29A3.12,SPBC21H7.06c,SPCC4B3.08,SPCC777.13,SPAC15E1.07c,SPBC18E5.04,SPBC3B8.08,SPCC320.06,SPAC22F8.03c,SPCC1020.13c
SPCC895.06,SPAC13G6.13,SPAC17H9.03c,SPBC839.04,SPAC14C4.14,SPBC1773.01,SPBC428.07,SPBC577.12,SPCC330.14c,SPCC594.01,SPAC17A5.08,SPAC2C4.16c
SPAC513.03,SPAC694.05c,SPBC16G5.09,SPCP1E11.07c,SPAC1399.05c,SPCC16C4.01,SPAC2G11.06,SPBC17D1.02,SPCC18.15,SPAC23C4.12,SPAC26A3.14c,SPBP18G5.03
SPCC18.13,SPBC17A3.08,SPBC2D10.19c,SPCC18.10,SPBC660.11,SPCC1739.15,SPAPB1A10.08,SPCC576.14,SPAC23H3.04,SPBPJ4664.01,SPAC22E12.01,SPBC19G7.18c
