SPCC1020.11c,SPCC1919.07,SPAC15A10.08,SPAC1687.10,SPAC1834.07,SPAC1A6.06c,SPAC1F3.09,SPAC1F7.06,SPAC2H10.02c,SPBC106.20,SPBC18H10.02,SPBC27.06c
SPCC777.02,SPCP31B10.03c,SPAC14C4.13,SPAC19B12.12c,SPAC29A4.05,SPBC428.06c,SPCC13B11.04c,SPCC14G10.04,empty,SPCC550.01c,SPAC16.04,SPAC16C9.02c
SPAC664.13,SPAC959.08,SPBC16G5.06,SPAC11D3.13,SPAC31G5.17c,SPAP8A3.04c,SPAPJ695.01c,SPBC3H7.10,SPBC530.04,SPBC660.14,SPBC1734.15,SPBC31F10.02
SPBC83.02c,SPCC126.03,SPAC144.03,SPAC17A2.10c,SPAC2F3.08,SPBC25B2.08,SPCC962.05,SPAC17C9.16c,SPAC30C2.08,SPBC16A3.12c,SPBC409.08,SPBC609.05
SPCC794.07,SPAC11D3.04c,SPAC144.14,SPAC1556.04c,SPAC29B12.08,SPBC12D12.07c,SPBC30D10.04,SPBC685.02,SPBC725.04,SPBP8B7.21,SPAC22A12.16,SPAC22H10.08
SPAC25B8.07c,SPAC26A3.02,SPAC30D11.06c,SPAC6C3.03c,SPBC1198.08,SPBC21B10.06c,SPBP16F5.07,SPCC1322.09,SPCC1840.04,SPCC70.02c,SPAC1071.07c,SPAC13F5.07c
SPAC4F10.11,SPBC119.14,SPBC1685.06,SPBC16E9.09c,SPBC1718.03,SPBC2D10.05,SPBC3H7.06c,SPCC622.19,SPAC664.03,SPAC17A2.11,SPBC1778.02,SPBC18E5.10
SPBC557.05,SPCC18B5.06,SPAC12B10.04,SPAC140.03,SPAC19G12.08,SPAC27D7.12c,SPAC4F10.08,SPBC1711.08,SPBC83.11,SPBC8D2.03c,SPCC1259.10,SPCC1393.13
