SPCC622.14,SPCP1E11.03,SPAC13C5.02,SPAC458.06,SPAC4H3.01,SPAC5D6.10c,SPBC17G9.10,SPAC6G10.06,SPBC1289.11,SPAC3H8.10,SPBC36.04,SPBC30B4.08
SPAC26F1.12c,SPBC1711.04,SPCC188.12,SPCC1906.04,SPCC794.02,SPAC3F10.09,SPBC56F2.10c,SPCC1183.06,SPCC285.17,empty,SPAC17A2.01,SPAPB1A10.15
SPBC2F12.15c,SPCC1259.07,SPBC25H2.10c,SPBC428.04,SPAC4F10.04,SPAC9.11,SPBC577.11,SPBC713.05,SPCC1494.01,SPAC17C9.05c,SPCC338.10c,SPCC553.12c
SPCP31B10.04,SPAC7D4.13c,SPCC790.03,SPAC8C9.16c,SPBC12D12.09,SPAC3H5.05c,SPBC405.02c,SPBC11C11.08,SPCC16C4.10,SPAC1687.21,SPBC1778.01c,SPAC6F6.17
SPBC800.02,SPCC1235.11,SPAC12B10.13,SPAC20G4.01,SPBP8B7.13,SPAC3G6.05,SPBC13G1.12,SPCC737.09c,SPCC830.06,SPBC17A3.02,SPAC1782.07,SPCC1739.01
SPAC3G9.03,SPAC15E1.03,SPAC19B12.09,SPAC821.04c,SPCC417.03,SPCC548.04,SPBC428.05c,SPAC23C4.11,SPBC1289.01c,SPBC31F10.14c,SPCC4G3.09c,SPBC16E9.13
SPAC1805.01c,SPBC25B2.02c,SPAC23A1.06c,SPBC530.11c,SPCC24B10.08c,SPBC2G2.15c,SPCC1259.13,SPCC4F11.02,SPCC1739.14,SPAC15F9.02,SPBC902.04,SPBC428.12c
SPBC16A3.18,SPAC6G9.14,SPAC57A7.13,SPAC17H9.04c,SPAC1527.03,SPBC18H10.04c,SPAC3G6.04,SPAC140.02,SPAC17G6.06,SPAC1687.19c,SPCC962.04,SPBC405.07
