SPBC25B2.07c,SPBC25H2.03,SPBC29A10.03c,SPBC29A10.06c,SPBC29A3.02c,SPBC2G2.09c,SPBC31A8.01c,SPBC31F10.10c,SPBC32F12.11,SPBC354.07c,SPBC359.05,SPBC3B8.07c
SPBC3B9.15c,empty,SPBC660.06,SPBC776.16,SPBC800.05c,SPBC887.17,SPBC8D2.12c,SPBC902.06,SPBC947.01,SPBC947.09,SPBP23A10.16,SPBP35G2.13c
SPBP4G3.03,SPBP4H10.09,SPCC1020.08,SPCC1223.12c,SPCC1442.01,SPCC1753.03c,SPCC24B10.11c,SPCC285.13c,SPCC306.05c,SPCC31H12.04c,SPCC364.06,SPCC417.05c
SPCC4F11.04c,SPCC548.05c,SPCC553.04,SPCC576.13,SPCC594.02c,SPCC594.04c,SPCC645.11c,SPCC663.06c,SPCC663.10,SPCC70.04c,SPCC736.04c,SPCC736.13
SPCC757.09c,SPCC757.11c,SPCC777.12c,SPCC794.12c,SPCP1E11.04c,SPAC1002.06c,SPAC1002.07c,SPAC1071.09c,SPAC1142.05,SPAC1142.07c,SPAC11D3.05,SPAC11E3.13c
SPAC13G6.08,SPAC1565.04c,SPAC15A10.07,SPAC15E1.02c,SPAC17A5.07c,SPAC17A5.10,SPAC1834.09,SPAC1952.12c,SPAC19D5.02c,SPAC1B1.04c,SPAC1F5.08c,SPAC20H4.06c
SPAC22A12.11,SPAC22F8.02c,SPAC22F8.05,SPAC23D3.04c,SPAC23D3.11,SPAC23H3.08c,SPAC25B8.01,SPAC25B8.15c,SPAC25G10.02,SPAC26H5.10c,SPAC29E6.09,SPAC2E1P5.03
SPAC3G9.07c,SPAC4A8.09c,SPAC4F10.06,SPAC4G8.10,SPAC4G8.11c,SPAC4H3.14c,SPAC5D6.07c,SPAC5H10.05c,SPAC6B12.12,SPAC6C3.06c,SPAC6F6.02c,SPAC6F6.11c
