SPBC1105.14,SPBC119.04,SPBC1347.02,SPBC16A3.08c,SPBC16D10.05,SPBC1778.04,SPBC1861.05,SPBC1861.07,SPBC215.02,SPBC21B10.10,SPBC26H8.05c,SPBC27B12.09c
SPBC28F2.11,SPBC29A10.10c,SPBC29A3.07c,SPBC2D10.06,SPBC30D10.14,SPBC32F12.07c,SPBC32H8.03,SPBC336.01,SPBC354.03,SPBC3D6.10,SPBC543.07,SPBC56F2.08c
SPBC582.08,SPBC725.05c,empty,SPBC725.10,SPBP4H10.03,SPBPJ4664.06,SPCC1223.11,SPCC126.07c,SPCC126.11c,SPCC1322.14c,SPCC1450.07c,SPCC162.10
SPCC18.03,SPCC188.02,SPCC1919.11,SPCC23B6.03c,SPCC24B10.07,SPCC297.05,SPCC330.11,SPCC550.15c,SPCC663.03,SPCC74.06,SPCC777.17c,SPCC825.01
SPCC965.10,SPCC970.07c,SPAC105.01c,SPAC1399.01c,SPAC14C4.07,SPAC1783.01,SPAC1851.04c,SPAC20G8.02,SPAC22G7.11c,SPAC23D3.13c,SPAC23G3.12c,SPAC323.03c
SPAC323.07c,SPAC4A8.10,SPAC9E9.03,SPACUNK4.14,SPBC1685.05,SPBC216.01c,SPBC25D12.05,SPBC29A10.07,SPBC29A3.14c,SPBC359.03c,SPBC3D6.13c,SPCC1450.09c
SPCC1620.08,SPCC1682.15,SPCC16A11.08,SPCC1902.01,SPCC285.16c,SPCC306.04c,SPCC663.14c,SPAC1039.06,SPAC17G6.03,SPAC1805.06c,SPAC227.11c,SPAC24H6.09
SPAC25B8.19c,SPAC29B12.14c,SPAC2G11.13,SPAC343.12,SPAC3C7.06c,SPAC3H8.09c,SPAC4D7.02c,SPAC4G8.06c,SPAC5D6.04,SPAC664.14,SPAC869.03c,SPAC977.16c
