SPBC16C6.10,SPBC16E9.14c,SPBC16E9.16c,SPBC16E9.19,SPBC16H5.02,SPBC1709.06,SPBC1709.10c,SPBC1711.01c,SPBC1718.01,SPBC1773.13,SPBC17A3.03c,SPBC17D11.02c
SPBC17D11.08,SPBC17G9.02c,SPBC18H10.13,SPBC18H10.15,SPBC19C2.06c,SPBC19C2.10,SPBC19C7.04c,SPBC19C7.09c,SPBC19F8.02,SPBC19F8.03c,SPBC19F8.06c,SPBC19G7.06
SPBC1A4.03c,SPBC1A4.04,SPBC1D7.03,SPBC20F10.06,SPBC21.03c,SPBC21B10.09,SPBC21C3.18,SPBC21D10.07,SPBC21D10.11c,empty,SPBC23E6.08,SPBC23G7.07c
SPBC24C6.08c,SPBC25B2.01,SPBC25B2.11,SPBC25H2.14,SPBC25H2.15,SPBC26H8.01,SPBC27.03,SPBC27B12.10c,SPBC27B12.11c,SPBC28E12.04,SPBC28E12.06c,SPBC29A10.13
SPBC29A3.01,SPBC29A3.11c,SPBC29A3.17,SPBC2A9.11c,SPBC2D10.09,SPBC2F12.13,SPBC30D10.18c,SPBC31F10.13c,SPBC32F12.01c,SPBC32F12.09,SPBC337.10c,SPBC354.08c
SPBC354.14c,SPBC354.15,SPBC36.01c,SPBC36.03c,SPBC365.08c,SPBC365.13c,SPBC36B7.02,SPBC3B9.06c,SPBC3E7.01,SPBC3E7.10,SPBC3F6.05,SPBC3H7.07c
SPBC409.06,SPBC4B4.11,SPBC4F6.09,SPBC4F6.15c,SPBC530.02,SPBC530.05,SPBC557.02c,SPBC56F2.01,SPBC56F2.04,SPBC56F2.09c,SPBC56F2.12,SPBC646.12c
SPBC651.03c,SPBC6B1.09c,SPBC713.06,SPBC776.04,SPBC83.13,SPBC839.11c,SPBC839.17c,SPBC887.02,SPBC887.05c,SPBC887.11,SPBC8D2.18c,SPBC8E4.01c
