SPBC1861.09,SPAC959.07,SPBC776.17,SPAC3C7.07c,SPAC17G6.15c,SPAC343.09,SPBC36B7.03,SPAC2F7.06c,SPAC1805.04,SPAC328.02,SPAPB2B4.03,SPAC1F8.05
SPAC823.11,SPBC1734.09,SPBC13G1.02,SPBC14F5.12c,SPBC649.04,SPAC24B11.10c,SPBC1734.06,SPAC22A12.07c,SPAC3C7.10,SPAC17C9.07,empty,SPAC2F7.02c
SPAC23C4.03,SPCC338.06c,SPAC23C4.06c,SPCC1906.02c,SPAC13G6.15c,SPBC15D4.01c,SPAC20G8.09c,SPBC3B8.06,SPBC19G7.08c,SPAC16C9.07,SPAC25G10.01,SPAC4F10.07c
SPCC4E9.01c,SPAC12B10.05,SPBC25H2.16c,SPBC17G9.08c,SPBC14F5.09c,SPAPJ760.02c,SPAC13F5.01c,SPAC1556.01c,SPBC1711.13,SPAC23H4.01c,SPAC2G11.03c,SPAC18G6.05c
SPAC18G6.10,SPBC1683.09c,SPBC1773.14,SPBC582.05c,SPBC28E12.02,SPBC19C2.09,SPAC2E1P3.04,SPCC1919.12c,SPAC22G7.01c,SPAC607.10,SPCC1919.15,SPAC644.06c
SPAC21E11.05c,SPAC1399.03,SPAC30D11.05,SPAC3A11.07,SPAC20G4.08,SPAC1B3.08,SPAC1F5.07c,SPAC1952.15c,SPBC16A3.10,SPBC1539.02,SPBC17D1.05,SPBC18E5.01
SPCC188.07,SPCC550.07,SPAC29B12.02c,SPCC970.01,SPCC306.09c,SPAC6F12.02,SPAC16E8.06c,SPCC4G3.08,SPAC9E9.10c,SPAC23H3.11c,SPAC11D3.10,SPAC212.04c
SPAC1F8.06,SPAC644.07,SPAC922.06,SPBC21D10.12,SPBC21H7.03c,SPBC21C3.15c,SPBC25D12.02c,SPBC582.04c,SPBC530.09c,SPBC6B1.08c,SPCC1739.08c,SPAC1A6.10
