SPAC23H4.12,SPAC25B8.13c,SPCC645.08c,SPAC23H4.09,SPAC1F7.12,SPAC5D6.13,SPBC18H10.19,SPBC2D10.11c,SPBC83.03c,SPBC1105.01,SPAC22G7.03,SPAC1F3.07c
SPBC725.11c,SPAC57A10.10c,SPBC577.15c,SPAC22E12.06c,SPBC106.03,SPBC530.15c,SPAC23A1.19c,SPAC144.11,SPAC18B11.04,SPBC1683.02,SPAC343.06c,empty
SPAC19G12.11,SPBC3D6.08c,SPAC56F8.16,SPAC1D4.09c,SPBC14F5.11c,SPBC13E7.03c,SPBC1734.05c,SPAC6G10.10c,SPAC10F6.12c,SPBC16G5.02c,SPBP35G2.03c,SPBPB2B2.14c
SPAC521.05,SPAC17C9.08,SPBC887.01,SPBC83.10,SPBP35G2.07,SPCC364.02c,SPCC338.18,SPAC3A11.11c,SPAC19A8.14,SPBC14C8.11c,SPAC6G9.12,SPAC3H1.04c
SPAC57A10.07,SPAC3F10.04,SPBC1921.01c,SPAC1002.01,SPBC887.06c,SPBC530.07c,SPBC6B1.04,SPAPJ691.02,SPAC23H3.09c,SPAC1687.08,SPBC800.07c,SPCC191.10
SPAC1F3.03,SPAC19G12.12,SPBC29B5.01,SPAC6G9.16c,SPAC3A11.14c,SPCC1739.13,SPBC83.12,SPAC2E1P5.02c,SPAC1F5.05c,SPBC14C8.09c,SPAC24H6.07,SPCC1753.05
SPBC56F2.02,SPBC337.13c,SPCC364.04c,SPBC1A4.05,SPBC21C3.16c,SPAC1B3.07c,SPAC3H1.03,SPBC6B1.10,SPAC23H3.14,SPBC2D10.03c,SPBC14C8.15,SPBC776.05
SPAC6F12.04,SPAC27D7.05c,SPBC17D11.01,SPAC3F10.17,SPBC30D10.03c,SPBC354.01,SPBC2D10.12,SPBC776.03,SPCC1322.16,SPAC22F8.09,SPBC1711.03,SPAC22E12.04
