SPAC4D7.03,SPBC11G11.03,SPAC4F10.02,SPBC1215.01,SPAC4F8.10c,SPBC1271.05c,SPAC4F8.11,SPBC12C2.02c,empty,SPBC12C2.05c,SPAC4G8.04,empty,SPAC4G8.05,SPBC12D12.06,SPAC4G8.08,SPBC1347.03,SPAC4G9.02,SPBC1347.12,SPAC4G9.14,SPBC13E7.09,SPAC4G9.20c,SPBC13E7.11,SPAC4H3.07c,SPBC13G1.10c
SPBC29A3.09c,SPCC1183.04c,SPBC29A3.13,SPCC11E10.07c,SPBC29A3.18,SPCC11E10.08,SPBC2A9.03,SPCC1223.05c,SPBC2A9.04c,SPCC1223.06,SPBC2D10.15c,SPCC1223.13,empty,SPCC1235.05c,SPBC2F12.11c,empty,SPBC30B4.02c,SPCC1259.03,SPBC30B4.03c,SPCC126.06,SPBC30B4.06c,SPCC132.02,SPBC31F10.07,SPCC132.04c
SPAC513.02,SPBC146.04,SPAC521.02,SPBC146.09c,SPAC521.04c,SPBC14F5.07,SPAC56E4.03,SPBC14F5.10c,SPAC56E4.06c,SPBC14F5.13c,SPAC56F8.04c,SPBC15C4.05,SPAC56F8.06c,SPBC15D4.03,SPAC56F8.09,SPBC15D4.15,SPAC57A10.03,SPBC1604.08c,SPAC57A7.05,SPBC1683.13c,SPAC57A7.12,SPBC1685.01,SPAC589.09,SPBC16A3.17c
SPBC31F10.09c,SPCC1322.08,SPBC31F10.12,SPCC1442.14c,SPBC31F10.16,SPCC1450.05c,SPBC32C12.03c,SPCC1450.11c,SPBC32F12.02,SPCC1682.08c,SPBC32F12.06,SPCC1795.01c,SPBC32H8.06,SPCC1840.02c,SPBC32H8.08c,SPCC1919.03c,SPBC32H8.11,SPCC24B10.03,SPBC32H8.13c,SPCC24B10.13,SPBC336.03,SPCC320.03,SPBC336.14c,SPCC320.04c
SPAC5H10.11,SPBC16C6.02c,SPAC630.09c,SPBC16D10.08c,SPAC631.01c,SPBC16G5.05c,SPAC637.06,SPBC16G5.16,SPAC637.07,SPBC16H5.03c,SPAC644.14c,SPBC16H5.04,SPAC664.01c,SPBC16H5.05c,SPAC664.02c,SPBC16H5.08c,SPAC688.14,SPBC16H5.11c,SPAC694.02,SPBC16H5.13,SPAC694.06c,SPBC1703.04,SPAC6B12.02c,SPBC1703.06
SPBC337.03,SPCC330.02,SPBC337.04,SPCC330.07c,SPBC342.05,SPCC338.11c,SPBC342.06c,SPCC417.06c,SPBC354.13,SPCC417.09c,SPBC359.06,SPCC4B3.15,SPBC36.07,SPCC553.08c,SPBC365.01,SPCC569.07,SPBC365.10,SPCC61.05,SPBC36B7.08c,SPCC613.02,SPBC3E7.05c,SPCC63.04,SPBC3F6.01c,SPCC645.13
SPAC6B12.04c,SPBC1703.14c,SPAC6B12.07c,SPBC1709.05,SPAC6C3.08,SPBC1709.14,SPAC6F12.09,SPBC1718.02,SPAC6F12.12,SPBC1734.04,SPAC6G9.04,SPBC1734.07c,SPAC6G9.05,SPBC1734.12c,SPAC7D4.02c,SPBC1734.13,SPAC7D4.12c,SPBC1773.03c,SPAC806.08c,SPBC1773.16c,SPAC821.05,SPBC1778.03c,SPAC821.06,SPBC1778.09
SPBC3H7.13,SPCC663.04,SPBC4.05,SPCC70.06,SPBC409.19c,SPCC736.06,SPBC428.15,SPCC736.08,SPBC4B4.04,SPCC74.04,SPBC4B4.07c,SPCC757.04,SPBC4B4.10c,SPCC794.11c,SPBC4C3.04c,SPCC895.05,SPBC4F6.12,SPCC895.09c,SPBC543.02c,SPCC965.06,SPBC543.05c,SPCC965.11c,SPBC543.10,SPCC970.10c
SPAC821.07c,SPBC17A3.06,SPAC823.03,SPBC17A3.10,SPAC823.13c,SPBC17D1.06,SPAC823.14,SPBC17D1.07c,SPAC824.02,SPBC17D11.04c,SPAC824.04,SPBC17F3.01c,SPAC824.08,SPBC17G9.05,SPAC869.04,SPBC17G9.12c,SPAC869.05c,SPBC1861.03,SPAC890.03,SPBC18H10.05,SPAC8C9.03,SPBC18H10.06c,SPAC8C9.11,SPBC19C7.02
SPBC557.04,SPCP1E11.02,SPBC56F2.03,SPCP1E11.10,SPBC577.03c,SPAC1002.03c,SPBC577.13,SPAC1002.05c,SPBC582.09,SPAC1006.03c,SPBC609.02,SPAC10F6.11c,SPBC609.03,SPAC10F6.14c,SPBC646.13,SPAC11D3.14c,SPBC651.02,SPAC11E3.14,SPBC660.10,SPAC12B10.16c,SPBC660.12c,SPAC139.01c,SPBC685.06,SPAC13G6.01c
SPAC8C9.12c,SPBC19F5.01c,SPAC8E11.02c,SPBC19F8.04c,SPAC8E11.03c,SPBC19F8.08,SPAC8F11.03,SPBC19G7.04,SPAC9.05,SPBC19G7.10c,SPAC9.10,SPBC1D7.01,SPAC922.03,SPBC215.01,SPAC926.07c,SPBC215.05,SPAC926.09c,SPBC215.06c,SPAC977.15,SPBC215.07c,SPAC9G1.02,SPBC216.02,SPAC9G1.03c,SPBC216.04c
