SPAC869.06c,SPAP32A8.02,SPAPB24D3.02c,SPAPB24D3.08c,SPBC1198.01,SPBC1271.12,SPBC1683.07,SPBC16C6.03c,SPBC16C6.09,SPBC1709.11c,SPBC1773.17c,SPBC1861.02
SPBC1861.06c,SPBC19C2.04c,empty,SPBC20F10.10,SPBC215.11c,SPBC21B10.07,SPBC23E6.10c,SPBC28F2.02,SPBC28F2.05c,SPBC2G5.02c,SPBC31F10.03,SPBC336.10c
SPBC36.06c,SPBC365.16,SPBC3B9.13c,SPBC3D6.04c,SPBC3D6.06c,SPBC609.04,SPBC660.17c,SPBC685.04c,SPBC839.13c,SPBC887.15c,SPBC947.05c,SPBC947.15c
SPBCPT2R1.01c,SPBP23A10.14c,SPBP4H10.18c,SPCC1020.05,SPCC1259.08,SPCC1259.14c,SPCC126.13c,SPCC1442.07c,SPCC1442.11c,SPCC1494.08c,SPCC14G10.03c,SPCC162.03
SPCC162.12,SPCC1840.09,SPCC24B10.10c,SPCC297.04c,SPCC306.07c,SPCC330.03c,SPCC338.08,SPCC364.01,SPCC4G3.02,SPCC576.17c,SPCC613.03,SPCC736.09c
SPCC737.05,SPCC777.08c,SPCC965.08c,SPCC965.13,SPCC970.05,SPCP31B10.05,SPAC1142.06,SPAC14C4.01c,SPAC16C9.01c,SPAC16E8.05c,SPAC17A5.09c,SPAC17G6.17
SPAC17G8.10c,SPAC1834.10c,SPAC186.08c,SPAC18G6.04c,SPAC1952.10c,SPAC19G12.09,SPAC20G8.07c,SPAC222.12c,SPAC227.04,SPAC22F3.13,SPAC22G7.07c,SPAC22H12.05c
SPAC23G3.10c,SPAC24C9.12c,SPAC26A3.07c,SPAC26H5.09c,SPAC29A4.09,SPAC31G5.11,SPAC323.01c,SPAC4A8.02c,SPAC4C5.02c,SPAC4F8.15,SPAC4G9.13c,SPAC5D6.02c
