empty,SPAPB2B4.06,SPAC1002.20,empty,SPAC11E3.06,SPAPB8E5.02c,SPAC11E3.10,SPAPJ691.03,SPAC11E3.12,SPBC106.05c,SPAC1296.04,SPBC1105.09,SPAC13A11.03,SPBC11C11.07,SPAC13G7.03,SPBC1348.01,SPAC13G7.07,SPBC1348.14c,SPAC13G7.11,SPBC14C8.04,SPAC1420.03,SPBC1539.06,SPAC1486.01,SPBC1539.08
SPAC1142.08,SPAC22F3.06c,SPAC11D3.07c,SPAC22F3.08c,empty,SPAC22F3.12c,SPAC11D3.17,empty,SPAC11D3.18c,SPAC22F8.04,SPAC11E3.01c,SPAC22F8.11,SPAC11E3.09,SPAC22G7.02,SPAC11G7.02,SPAC22G7.06c,SPAC11H11.04,SPAC22G7.08,SPAC1250.05,SPAC22H10.04,SPAC12B10.07,SPAC22H10.07,SPAC12B10.09,SPAC22H10.09
SPAC14C4.16,SPBC1539.10,SPAC1527.02,SPBC15D4.02,SPAC15E1.06,SPBC15D4.06,SPAC15E1.09,SPBC1604.09c,SPAC1687.23c,SPBC1604.18c,SPAC16A10.05c,SPBC16A3.07c,SPAC16E8.08,SPBC16C6.05,SPAC16E8.18,SPBC16E9.15,SPAC1751.04,SPBC1703.08c,SPAC1782.04,SPBC1703.11,SPAC1782.11,SPBC1709.18,SPAC1786.04,SPBC1711.14
SPAC12G12.01c,SPAC23A1.04c,SPAC12G12.07c,SPAC23A1.07,SPAC12G12.12,SPAC23C11.14,SPAC139.04c,SPAC23C4.02,SPAC13C5.03,SPAC23D3.01,SPAC13C5.07,SPAC23D3.03c,SPAC13D6.03c,SPAC23D3.09,SPAC13G6.09,SPAC23E2.01,SPAC144.02,SPAC23G3.02c,SPAC144.05,SPAC23G3.05c,SPAC1486.04c,SPAC23G3.08c,SPAC14C4.05c,SPAC23H3.03c
SPAC17D4.01,SPBC1711.15c,SPAC17G8.09,SPBC18E5.14c,SPAC1805.08,SPBC18H10.07,SPAC1851.02,SPBC19F8.01c,SPAC1952.02,SPBC215.04,SPAC19A8.11c,SPBC21B10.08c,SPAC19D5.11c,SPBC21C3.11,SPAC1D4.11c,SPBC21D10.08c,SPAC1F8.08,SPBC23E6.05,SPAC212.03,SPBC23G7.15c,SPAC227.14,SPBC23G7.16,SPAC22F3.07c,SPBC24C6.05
SPAC1556.03,SPAC24B11.08c,SPAC1565.07c,SPAC24B11.12c,SPAC15A10.06,SPAC24C9.08,SPAC15A10.10,SPAC24C9.14,SPAC15A10.11,SPAC25B8.11,SPAC15A10.16,SPAC25G10.03,SPAC1610.03c,SPAC25H1.02,SPAC1635.01,SPAC26A3.10,SPAC167.01,SPAC26A3.16,SPAC167.07c,SPAC26F1.02,SPAC1687.05,SPAC26F1.08c,SPAC1687.06c,SPAC26F1.10c
SPAC22H10.02,SPBC29A10.12,SPAC23A1.03,SPBC29A3.21,SPAC23A1.11,SPBC29B5.03c,SPAC23C11.08,SPBC2D10.16,SPAC23C11.10,SPBC2D10.20,SPAC23C4.16c,SPBC2G2.05,SPAC23C4.17,SPBC30D10.09c,SPAC25B8.10,SPBC31F10.05,SPAC25G10.06,SPBC32F12.08c,SPAC27E2.01,SPBC32H8.05,SPAC27F1.10,SPBC337.09,SPAC29A4.14c,SPBC337.16
SPAC1687.15,SPAC26H5.02c,SPAC16A10.02,SPAC27D7.02c,SPAC16C9.05,SPAC27D7.13c,SPAC16C9.06c,SPAC27D7.14c,SPAC1705.02,SPAC27E2.03c,SPAC1782.01,SPAC27F1.05c,SPAC1782.05,SPAC27F1.06c,SPAC1782.06c,SPAC29A4.02c,SPAC17A2.05,SPAC29A4.13,SPAC17A2.06c,SPAC2C4.14c,SPAC17A2.12,SPAC2C4.17c,SPAC17A2.14,SPAC2F3.02
SPAC29A4.17c,SPBC365.06,SPAC2C4.05,SPBC3B9.05,SPAC2C4.08,SPBC3D6.09,SPAC2C4.09,SPBC4B4.06,SPAC2F3.12c,SPBC4C3.12,SPAC2F3.18c,SPBC56F2.14,SPAC343.20,SPBC577.02,SPAC3A12.08,SPBC577.04,SPAC3G6.02,SPBC83.04,SPAC3G6.13c,SPBC83.19c,SPAC4D7.11,SPBC839.14c,SPAC4G9.06c,SPBC887.08
SPAC17A5.01,SPAC2F3.15,SPAC17A5.11,SPAC2F3.16,SPAC17C9.09c,SPAC2F7.08c,SPAC17D4.03c,SPAC2F7.09c,SPAC17G6.02c,SPAC2F7.10,SPAC17G6.05c,SPAC2G11.05c,SPAC17G6.13,SPAC2G11.12,SPAC17G8.07,SPAC2H10.01,SPAC17H9.08,SPAC30.02c,SPAC17H9.11,SPAC30.03c,SPAC17H9.14c,SPAC30.04c,SPAC1805.02c,SPAC30D11.01c
SPAC57A10.14,SPBC8D2.02c,SPAC589.11,SPBC947.14c,SPAC5D6.01,SPBCPT2R1.02,SPAC5D6.08c,SPBCPT2R1.08c,SPAC630.11,SPBP22H7.08,SPAC630.15,SPBP4H10.08,SPAC664.10,SPBP4H10.12,SPAC683.03,SPBP8B7.22,SPAC694.03,SPBP8B7.26,SPAC6B12.06c,SPBP8B7.31,SPAC6B12.15,SPBPB2B2.02,SPAC6F6.09,SPBPB7E8.02
SPAC1805.09c,SPAC30D11.13,SPAC1805.12c,SPAC31A2.16,SPAC1834.03c,SPAC31G5.19,SPAC1834.05,SPAC328.01c,SPAC1851.03,SPAC328.04,SPAC18B11.07c,SPAC328.06,SPAC18G6.15,SPAC328.09,SPAC1952.07,SPAC328.10c,SPAC1952.16,SPAC343.04c,SPAC19A8.03,SPAC343.07,SPAC19A8.04,SPAC343.11c,SPAC19A8.10,SPAC343.18
SPAC6G9.09c,SPBPB8B6.04c,SPAC750.08c,SPBPB8B6.05c,SPAC823.02,SPBPJ4664.02,SPAC824.07,SPCC1183.10,SPAC890.07c,SPCC1223.15c,SPAC8C9.14,SPCC1259.04,SPAC8C9.19,SPCC1682.01,SPAC8E11.04c,SPCC16C4.04,SPAC8E11.07c,SPCC16C4.11,SPACUNK4.19,SPCC24B10.17,SPAP11E10.01,SPCC24B10.18,SPAP27G11.16,SPCC31H12.03c
SPAC19B12.04,SPAC3A11.10c,SPAC19B12.07c,SPAC3A12.03c,SPAC19B12.08,SPAC3A12.06c,SPAC19B12.10,SPAC3A12.09c,SPAC19B12.11c,SPAC3A12.12,SPAC1B2.04,SPAC3C7.04,SPAC1B3.04c,SPAC3C7.12,SPAC1B3.05,SPAC3F10.02c,SPAC1D4.13,SPAC3F10.06c,SPAC1F3.05,SPAC3F10.16c,SPAC1F3.06c,SPAC3G6.11,SPAC1F7.11c,SPAC3G9.04
SPAPB17E12.02,SPCC576.01c,SPAPB17E12.03,SPCC74.05,SPAPB17E12.04c,SPCC794.15,SPAPB17E12.05,SPAC1093.06c,SPAPB17E12.08,SPAC1006.06,SPAPB17E12.12c,SPAC1039.05c,SPAPB17E12.14c,SPAC1071.02,SPAPB18E9.01,SPAC1071.08,SPAPB18E9.04c,SPAC10F6.04,SPAPB1E7.07,SPAC10F6.06,SPAPB21F2.03,SPAC10F6.16,SPAPB2B4.02,SPAC1142.03c
SPAC1F8.01,SPAC3G9.08,SPAC20G8.08c,SPAC3H1.05,SPAC20H4.02,SPAC3H1.06c,SPAC20H4.05c,SPAC3H1.10,SPAC20H4.10,SPAC3H1.13,SPAC222.14c,SPAC3H5.07,SPAC222.15,SPAC3H5.08c,SPAC227.03c,SPAC3H5.12c,SPAC227.10,SPAC3H8.03,SPAC22A12.14c,SPAC3H8.07c,SPAC22E12.14c,SPAC4A8.05c,SPAC22F3.03c,SPAC4C5.01
