SPACUNK4.10,SPAP8A3.12c,SPBC1348.02,SPBC15C4.04c,SPBC16A3.02c,SPBC16G5.17,SPBC359.01,SPBP8B7.09c,SPCC1183.11,SPCC1672.12c,SPCC1840.03,SPCC285.09c
SPCC31H12.02c,SPCC4B3.03c,SPCC4B3.07,SPCC4B3.12,SPCC4G3.19,SPCC550.09,SPCC5E4.05c,SPCC736.07c,SPCPJ732.02c,SPAC24B11.07c,SPAC25H1.05,SPAC26H5.08c
SPAC824.09c,SPBC12C2.03c,SPBC16C6.08c,empty,SPBC1815.01,SPBC23G7.10c,SPBC27.02c,SPBC30D10.16,SPBC337.07c,SPBC36B7.05c,SPBC3E7.15c,SPBC409.10
SPCC132.01c,SPCC24B10.15,SPCC364.07,SPCC584.15c,SPCPB16A4.05c,SPAC1399.02,SPAC1D4.05c,SPAC227.01c,SPAC23H3.12c,SPAP27G11.08c,SPBC3B8.03,SPBC3B9.11c
SPBC418.02,SPBC646.02,SPBC6B1.05c,SPBC947.06c,SPCC1393.02c,SPCC1494.09c,SPCC553.03,SPCC576.02,SPCC576.11,SPCC61.03,SPAC1805.16c,SPAC1F8.03c
SPAC212.01c,SPAC22A12.17c,SPAC27D7.03c,SPAC31A2.15c,SPAC513.07,SPAC5H10.04,SPAP7G5.04c,SPBC1604.12,SPBC3H7.12,SPCC1450.08c,SPCC16A11.03c,SPCC16A11.16c
SPCC1884.02,SPCC594.05c,SPCC794.03,SPCC794.09c,SPCPB16A4.02c,SPAC12B10.10,SPAC13G6.02c,SPAC1B3.15c,SPAC31G5.04,SPAC31G5.14,SPBC16G5.11c,SPBC56F2.05c
SPBPB10D8.04c,SPBPB10D8.06c,SPBPB10D8.07c,SPCC11E10.03,SPCC23B6.02c,SPCC825.04c,SPAC1039.04,SPAC144.01,SPAC1B3.01c,SPAC2F7.07c,SPAPB24D3.04c,SPBC36.11
