SPAC24C9.02c,SPAC24C9.05c,SPAC24C9.07c,SPAC24C9.15c,SPAC24H6.02c,SPAC24H6.04,SPAC25B8.08,SPAC25B8.18,SPAC26A3.04,SPAC26F1.14c,SPAC2C4.06c,SPAC2C4.10c
SPAC2E1P3.01,SPAC2E1P3.05c,SPAC2E1P5.01c,SPAC2F7.11,SPAC30C2.07,SPAC31F12.01,SPAC31G5.07,SPAC31G5.21,SPAC343.15,SPAC3A11.09,SPAC3F10.10c,SPAC3F10.11c
SPAC3F10.15c,SPAC3A11.05c,SPAC3H1.09c,SPAC458.05,SPAC4A8.04,SPAC4C5.04,SPAC4F10.05c,SPAC4F10.18,empty,SPAC4G9.10,SPAC4H3.13,SPAC513.05
SPAC5D6.05,SPAC607.09c,SPAC630.05,SPAC637.10c,SPAC664.15,SPAC652.01,SPAC6B12.08,SPAC6C3.02c,SPAC6C3.04,SPAC6G9.13c,SPAC6G9.15c,SPAC7D4.14c
SPAC821.10c,SPAC821.11,SPAC823.10c,SPAC824.05,SPAC8C9.06c,SPAC8E11.01c,SPAC9.12c,SPAC926.02,SPAC977.11,SPAC9E9.13,SPAC9E9.15,SPACUNK4.12c
SPACUNK4.15,SPAP14E8.02,SPAP27G11.05c,SPAP27G11.06c,SPAP27G11.07c,SPAP27G11.10c,SPAP27G11.15,SPAPB1A10.13,SPAPB1A11.02,SPAPB1E7.02c,SPAPB24D3.10c,SPAPB2B4.07
SPAPJ696.02,SPAPYUG7.06,SPBC106.01,SPBC106.17c,SPBC1105.12,SPBC1105.18c,SPBC119.08,SPBC11C11.06c,SPBC11C11.09c,SPBC11G11.01,SPBC1271.11,SPBC12D12.02c
SPBC12D12.04c,SPBC12D12.05c,SPBC1347.06c,SPBC1348.07,SPBC13A2.02,SPBC13E7.08c,SPBC146.10,SPBC1604.04,SPBC1683.01,SPBC1685.02c,SPBC1685.04,SPBC16A3.01
