SPAC26A3.11,SPAC1952.03,SPCC830.10,SPAC869.11,SPAC8C9.05,SPBC1539.04,SPAC22F3.11c,SPAC2G11.15c,SPAC1F5.09c,SPBC1A4.09,SPAC2G11.10c,SPCC4G3.04c
SPBC1289.06c,SPBC337.08c,SPAC25A8.01c,SPBC3B8.02,SPBC26H8.12,SPAC1486.08,SPAC12B10.03,SPAC4G9.19,SPAC644.15,SPCC417.02,SPBC16A3.16,SPAC2F3.07c
empty,SPAC9.13c,SPAC767.01c,SPAC11E3.03,SPAC1296.02,SPAC12B10.14c,SPAC139.03,SPAC13G6.03,SPAC1639.02c,SPAC1782.09c,SPAC20H4.07,SPAC22A12.10
SPAC22E12.18,SPAC24H6.11c,SPAC25G10.09c,SPAC26F1.07,SPAC4G9.16c,SPAC57A10.02,SPAC57A10.08c,SPAC644.13c,SPAC6B12.03c,SPAC6C3.05,SPAC6F6.06c,SPAC8C9.07
SPAC8C9.10c,SPAPB24D3.09c,SPAPB8E5.03,SPBC1306.02,SPBC16C6.01c,SPBC16H5.07c,SPBC1703.12,SPBC1706.03,SPBC1709.09,SPBC1778.10c,SPBC17G9.07,SPBC18E5.05c
SPBC216.05,SPBC24C6.11,SPBC27B12.03c,SPBC28F2.03,SPBC2A9.13,SPBC365.12c,SPBC3E7.06c,SPBC725.02,SPBC725.06c,SPBC776.02c,SPBP23A10.10,SPBP35G2.05c
SPBP4H10.10,SPCC1223.01,SPCC1259.01c,SPCC126.08c,SPCC16C4.13c,SPCC1739.12,SPCC1919.04,SPCC320.12,SPCC548.07c,SPCC550.14,SPCC569.05c,SPCC5E4.07
SPCC757.03c,SPCC965.12,SPCPB16A4.04c,SPBC776.09,SPCC1259.09c,SPCC1742.01,SPAC18B11.11,SPAC19A8.08,SPAC19E9.03,SPAC222.05c,SPAC30D11.02c,SPAC750.05c
