SPBC947.11c,SPBCPT2R1.03,SPBP16F5.04,SPBP26C9.03c,SPBP35G2.14,SPBP4H10.04,SPBP4H10.07,SPBP4H10.14c,SPBP8B7.08c,SPBP8B7.27,SPBPB21E7.04c,SPBPB21E7.05
SPBPB21E7.09,SPBPB2B2.19c,SPCC1020.07,SPCC1235.06,SPCC1235.09,SPCC1259.12c,SPCC126.02c,SPCC1322.10,SPCC1322.15,SPCC1393.07c,SPCC1393.12,SPCC1442.02
SPCC1450.06c,SPCC1529.01,SPCC162.06c,SPCC1620.02,SPCC1620.03,SPCC1620.12c,SPCC1672.09,SPCC1682.07,SPCC16C4.03,SPCC16C4.09,empty,SPCC1739.09c
SPCC1795.02c,SPCC1795.03,SPCC1827.03c,SPCC1827.04,SPCC1840.07c,SPCC1840.10,SPCC1840.12,SPCC18B5.10c,SPCC1902.02,SPCC191.01,SPCC191.03c,SPCC24B10.22
SPCC285.11,SPCC285.14,SPCC2H8.02,SPCC306.11,SPCC320.05,SPCC320.07c,SPCC330.19c,SPCC417.07c,SPCC417.11c,SPCC4B3.13,SPCC4B3.14,SPCC4B3.17
SPCC4E9.02,SPCC4G3.03,SPCC4G3.12c,SPCC548.06c,SPCC550.10,SPCC553.07c,SPCC569.01c,SPCC569.02c,SPCC576.12c,SPCC594.07c,SPCC613.01,SPCC622.11
SPCC622.12c,SPCC622.18,SPCC63.03,SPCC645.14c,SPCC757.02c,SPCC757.13,SPCC777.07,SPCC790.02,SPCC794.06,SPCC895.08c,SPCC962.01,SPCC965.04c
SPCP1E11.09c,SPCPJ732.01,SPAC1039.07c,SPAC1071.06,SPAC1093.01,SPAC1296.06,SPAC12B10.06c,SPAC12G12.11c,SPAC13C5.01c,SPAC14C4.03,SPAC1F12.06c,SPAC1F7.07c
