SPAC13D6.01,SPAC13D6.02c,SPAC14C4.10c,SPAC167.06c,SPAC1783.06c,SPAC17G8.08c,SPAC18B11.03c,SPAC18G6.01c,SPAC19G12.04,SPAC1A6.07,SPAC1B3.06c,SPAC20H4.03c
SPAC22A12.03c,SPAC22E12.05c,SPAC23A1.14c,SPAC823.12,SPAC31A2.12,empty,SPAC31A2.13c,SPAC3G9.11c,SPCC794.08,SPAC630.06c,SPAC6G10.11c,SPAC9.08c
SPAC977.14c,SPAPB1A10.10c,SPAPB21F2.02,SPBC11B10.10c,SPBC12C2.09c,SPBC13E7.07,SPBC15C4.06c,SPBC16C6.04,SPBC1773.05c,SPBC17D11.03c,SPBC215.03c,SPBC25H2.09
SPBC83.16c,SPBC902.05c,SPBP35G2.02,SPBP35G2.04c,SPBP4H10.05c,SPCC191.05c,SPCC622.15c,SPCC663.11,SPCC663.13c,SPCC70.03c,SPCC736.02,SPCC965.07c
SPAC13C5.04,SPAC13D6.04c,SPAC13G7.06,SPAC13G7.12c,SPAC1610.02c,SPAC16A10.03c,SPAC16E8.01,SPAC17C9.14,SPAC17C9.15c,SPAC1834.08,SPAC19D5.06c,SPAC24C9.16c
SPAC3H1.14,SPAC3H8.04,SPAC4D7.07c,SPAC823.09c,SPBC1604.03c,SPBC1711.06,SPBC21C3.20c,SPBC8D2.11,SPBC902.03,SPBP35G2.12,SPCC13B11.03c,SPCC1442.04c
SPCC1620.13,SPCC1739.07,SPCC1840.08c,SPCC645.12c,SPCC830.08c,SPAC17A5.05c,SPAC17C9.10,SPAC186.03,SPAC1F12.04c,SPAC22E12.03c,SPAC23C11.02c,SPAC29B12.12
SPAC3G6.01,SPAC513.04,SPAC694.04c,SPAC6B12.14c,SPAC6C3.07,SPAC890.06,SPAC922.07c,SPBC1604.16c,SPBC1683.06c,SPBC18H10.08c,SPBC2F12.05c,SPBC30B4.01c
