SPAC24H6.08,SPBC21C3.07c,SPAC140.01,SPAC3F10.12c,SPAC630.10,SPAC688.04c,SPAPB1A11.03,SPBC16E9.08,SPCC1442.05c,SPAC8F11.02c,SPAC11D3.01c,SPBC1347.08c
SPBC660.09,SPBC12C2.12c,SPBC14C8.16c,SPAC1327.01c,SPBC26H8.11c,SPCC1682.13,SPBC19C7.10,SPAC11H11.01,SPBC2D10.13,SPCC1235.15,SPBP23A10.05,SPBC18H10.09
SPAC644.09,SPBC11C11.10,SPAC9G1.04,SPBC691.01,SPCC13B11.02c,SPAC6B12.16,SPCC1281.08,empty,SPAC25A8.03c,SPBC106.16,SPBC16E9.18,SPAC644.08
SPAC977.06,SPBC1347.01c,SPAC1006.01,SPAC1039.01,SPAC1039.08,SPAC1039.10,SPAC105.02c,SPAC1071.12c,SPAC11D3.02c,SPAC11D3.16c,SPAC11E3.05,SPAC12G12.16c
SPAC13A11.05,SPAC13C5.05c,SPAC13C5.06c,SPAC13G6.04,SPAC13G6.12c,SPAC13G6.14,SPAC13G7.09c,SPAC144.06,SPAC144.08,SPAC144.13c,SPAC1486.10,SPAC1565.01
SPAC1565.02c,SPAC15E1.04,SPAC16.03c,SPAC16.05c,SPAC1687.14c,SPAC1687.17c,SPAC16C9.04c,SPAC1783.08c,SPAC1786.01c,SPAC17G6.04c,SPAC17G6.08,SPAC17G8.06c
SPAC17H9.09c,SPAC17H9.12c,SPAC1805.05,SPAC1805.10,SPAC186.07c,SPAC18B11.08c,SPAC19B12.06c,SPAC19G12.03,SPAC19G12.05,SPAC19G12.16c,SPAC1A6.03c,SPAC1F12.10c
SPAC1F7.08,SPAC20G4.02c,SPAC227.05,SPAC227.18,SPAC22A12.01c,SPAC22A12.02c,SPAC22A12.04c,SPAC22E12.11c,SPAC22F3.04,SPAC23C11.01,SPAC23C4.08,SPAC23H3.15c
