SPCC126.01c,SPCC1393.09c,SPCC1450.16c,SPCC1672.03c,SPCC16A11.01,SPCC18B5.05c,SPCC23B6.01c,SPCC24B10.20,SPCC306.08c,SPCC31H12.05c,SPCC31H12.08c,SPCC4G3.15c
empty,SPCC613.06,SPCC63.14,SPCC663.08c,SPCC737.07c,SPCC757.07c,SPCC794.01c,SPCC965.05c,SPAC1071.11,SPAC10F6.05c,SPAC10F6.15,SPAC12G12.10
SPAC13F5.03c,SPAC14C4.12c,SPAC15A10.05c,SPAC15A10.09c,SPAC167.04,SPAC1687.12c,SPAC186.05c,SPAC18B11.02c,SPAC1952.06c,SPAC19A8.02,SPAC1B3.03c,SPAC1B3.16c
SPAC1D4.02c,SPAC1D4.03c,SPAC1D4.06c,SPAC1F12.05,SPAC20G4.04c,SPAC212.08c,SPAC222.08c,SPAC227.06,SPAC23H3.05c,SPAC24B11.06c,SPAC24B11.13,SPAC26H5.07c
SPAC27F1.08,SPAC29B12.05c,SPAC31A2.11c,SPAC31G5.09c,SPAC3C7.03c,SPAC3C7.09,SPAC458.02c,SPAC4H3.04c,SPAC521.03,SPAC56F8.05c,SPAC589.03c,SPAC589.07c
SPAC5D6.09c,SPAC5H10.09c,SPAC5H10.13c,SPAC630.14c,SPAC637.03,SPAC644.11c,SPAC869.10c,SPAC890.05,SPAC922.05c,SPAC9G1.07,SPAC9G1.08c,SPAC9G1.11c
SPAP27G11.02,SPAP27G11.14c,SPAPB1A10.05,SPAPJ696.01c,SPBC119.16c,SPBC1198.14c,SPBC12C2.04,SPBC12C2.07c,SPBC14C8.17c,SPBC15D4.09c,SPBC1604.07,SPBC1683.08
SPBC1685.07c,SPBC16A3.14,SPBC16D10.07c,SPBC16E9.02c,SPBC16E9.07,SPBC1773.04,SPBC1773.08c,SPBC18H10.20c,SPBC19C7.08c,SPBC19C7.12c,SPBC20F10.07,SPBC25B2.06c
