SPAC7D4.06c,SPAC869.01,SPAC890.02c,SPBC11C11.02,SPBC18H10.14,SPBC4B4.12c,SPBC577.06c,SPBC651.09c,SPCC1020.01c,SPCC191.07,SPCC777.03c,SPAC27D7.08c
SPAC637.09,SPBC2G2.13c,SPCC550.12,SPCC895.07,SPCC594.06c,SPCC5E4.10c,SPCC550.03c,SPAC869.02c,SPAC13F5.05,SPBPB2B2.01,SPAC14C4.11,SPAPB1E7.12
SPBC13E7.04,empty,SPBC530.13,SPBC26H8.14c,SPAC3A12.13c,SPAC3A11.13,SPAC18G6.13,SPAC4D7.10c,SPCC584.11c,SPBC16C6.11,SPCC613.12c,SPAC3H8.05c
SPBC365.14c,SPAC22H12.02,SPCC24B10.09,SPCC1393.03,SPBC28E12.03,SPAC18G6.09c,SPACUNK4.07c,SPAC1783.04c,SPAC1006.05c,SPBC1778.06c,SPACUNK4.08,SPAC1805.07c
SPAC26F1.03,SPAC23H4.14,SPAC167.05,SPAC26A3.01,SPAC17A5.18c,SPAC17G8.05,SPAC18B11.09c,SPAC1B1.02c,SPAC2G11.09,SPAC4H3.06,SPAC513.06c,SPAC57A10.06
SPAC630.07c,SPBC1347.07,SPBC16D10.02,SPBC19G7.02,SPBC3D6.05,SPBC651.12c,SPBC713.09,SPBPB21E7.01c,SPCC757.12,SPCP1E11.11,SPAC1002.14,SPAC105.03c
SPAC1071.04c,SPAC11E3.11c,SPAC12G12.03,SPAC13A11.01c,SPAC17C9.11c,SPAC19D5.01,SPAC19D5.03,SPAC20H4.09,SPAC227.15,SPAC23G3.03,SPAC23H4.02,SPAC23H4.17c
SPAC24H6.13,SPAC27D7.06,SPAC27E2.02,SPAC29B12.11c,SPAC2C4.07c,SPAC328.05,SPAC4A8.06c,SPAC607.06c,SPCC16A11.10c,SPAC6G9.08,SPAC9E9.08,SPAPB2B4.04c
