SPCC63.08c,SPAC11G7.06c,SPBC342.03,SPBC409.07c,SPBC530.10c,SPAPB1A10.07c,SPBC1289.09,SPBC1703.13c,SPBC17A3.09c,SPBC19C2.13c,SPBC577.05c,SPBC776.06c
SPCC13B11.01,SPAC140.04,SPAC31A2.06,SPCC569.06,SPBC1604.11,SPAC227.17c,SPBC15D4.13c,SPAC323.04,SPBC1685.08,SPBC19C2.02,SPBC365.20c,SPBC13G1.14c
SPBC1271.15c,SPBP8B7.05c,SPAC1296.05c,SPAC1527.01,SPAC19A8.01c,SPAC29E6.01,empty,SPAC57A7.04c,SPAC5D6.06c,SPAC8C9.17c,SPAC9.06c,SPAC9.07c
SPBC1289.08,SPBC1289.15,SPBC1734.08,SPBC2A9.06c,SPBC2G2.17c,SPBC3B9.08c,SPBC543.09,SPBC713.03,SPBC800.08,SPCC1259.02c,SPCC1739.03,SPCC736.11
SPAC1A6.05c,SPAC30C2.06c,SPBC1604.19c,SPBC19G7.01c,SPBC23E6.09,SPAC1006.04c,SPAC11D3.15,SPAC1B3.10c,SPAC1F3.10c,SPAC22E12.19,SPAC3A11.02,SPBC1271.10c
SPBC776.15c,SPBC947.04,SPCC74.03c,SPAC22F8.07c,SPAC607.08c,SPAC959.04c,SPBC4C3.08,SPCC1494.07,SPCC1672.06c,SPCC1682.12c,SPCC1840.06,SPCC74.09
SPAC1002.19,SPAC4G8.07c,SPAC688.03c,SPAC6F12.06,SPBC1773.12,SPBC19G7.07c,SPAC19G12.13c,SPAC1250.03,SPAC1F8.02c,SPAC227.13c,SPBC1A4.02c,SPBC216.03
SPBC21C3.12c,SPBC2D10.07c,SPBC725.03,SPAC1250.02,SPAC1783.02c,SPBC11B10.06,SPBC21B10.02,SPBC4.02c,SPBC83.09c,SPCC777.10c,SPAC1F7.10,SPAC21E11.04
