SPBC16A3.13,SPBC16D10.11c,SPBC1709.16c,SPBC1711.11,SPBC20F10.03,SPBC23E6.03c,SPBC25B2.10,SPBC27B12.08,SPBC29A3.10c,SPBC2A9.05c,SPBC317.01,SPBC337.15c
SPBC3E7.07c,SPBC405.06,SPBC409.16c,SPBC646.06c,empty,SPBC6B1.03c,SPBC725.15,SPBC83.18c,SPBC839.05c,SPBP4H10.19c,SPBPB2B2.08,SPBPB2B2.09c
SPCC1235.08c,SPCC1281.04,SPCC1393.08,SPCC162.04c,SPCC162.05,SPCC1682.11c,SPCC1739.05,SPCC1919.13c,SPCC24B10.12,SPCC330.12c,SPCC569.03,SPCC663.12
SPCC777.15,SPCC794.10,SPAC10F6.08c,SPAC14C4.08,SPAC14C4.09,SPAC1565.03,SPAC1610.01,SPAC16E8.17c,SPAC17G8.14c,SPAC1805.03c,SPAC1B3.02c,SPAC23H4.10c
SPAC25B8.09,SPAC25G10.05c,SPAC29B12.06c,SPAC2G11.04,SPAC3A11.04,SPAC3C7.14c,SPAC56F8.14c,SPAC589.10c,SPAC5H10.02c,SPAC607.07c,SPAC6B12.05c,SPAC6F12.03c
SPAC6G9.03c,SPAC7D4.05,SPAP8A3.07c,SPAPB24D3.03,SPAPB8E5.08,SPBC1271.03c,SPBC1347.13c,SPBC13G1.04c,SPBC146.02,SPBC1683.10c,SPBC1711.12,SPBC1718.07c
SPBC18A7.01,SPBC1921.04c,SPBC1921.06c,SPBC1E8.02,SPBC24C6.10c,SPBC2F12.09c,SPBC2G2.07c,SPBC2G5.01,SPBC2G5.03,SPBC530.03c,SPCC1183.09c,SPCC1235.03
SPCC126.10,SPCC1393.10,SPCC1442.13c,SPCC16A11.15c,SPCC1795.06,SPCC18B5.09c,SPCC285.10c,SPCC338.14,SPCC663.09c,SPCP20C8.02c,SPCPB1C11.01,SPAC1093.02
