SPAC1F8.04c,SPAC20G4.05c,SPAC25B8.06c,SPAC1805.11c,SPAC27E2.07,SPAC27F1.03c,SPAC29B12.03,SPAC29B12.04,SPAC2E1P3.02c,SPAC2F3.01,SPAC30C2.05,SPAC30D11.07
SPAC30D11.12,SPAC31A2.02,SPAC328.07c,SPAC3A11.08,SPAC3H5.09c,SPAC4A8.14,SPAC4F10.13c,SPAC4F10.15c,SPAC56F8.12,SPAC589.08c,SPAC589.12,SPAC5H10.06c
SPAC5H10.08c,SPAC607.02c,SPAC688.13,SPAC6F6.03c,SPAC7D4.04,SPAC824.03c,SPAC977.10,SPAP14E8.05c,SPAP8A3.03,SPAP8A3.05,SPAPB1A11.01,empty
SPAPJ760.03c,SPBC1198.11c,SPBC11G11.02c,SPBC11G11.05,SPBC13A2.04c,SPBC1539.03c,SPBC15C4.01c,SPBC1652.01,SPBC16E9.03c,SPBC16G5.03,SPBC16G5.15c,SPBC1703.03c
SPBC1709.12,SPBC1709.19c,SPBC1773.15,SPBC1778.07,SPBC17G9.09,SPBC1921.07c,SPBC19C7.11,SPBC19G7.17,SPBC216.06c,SPBC21D10.10,SPBC26H8.08c,SPBC27B12.07
SPBC29A10.02,SPBC29A10.08,SPBC32H8.07,SPBC336.06c,SPBC3H7.15,SPBC428.02c,SPBC4B4.02c,SPBC530.01,SPBC577.08c,SPBC713.02c,SPCC1020.03,SPCC1223.09
SPCC1259.05c,SPCC1442.15c,SPCC16C4.17,SPCC1739.04c,SPCC1919.01,SPCC1919.05,SPCC24B10.04,SPCC24B10.19c,SPCC338.04,SPCC338.05c,SPCC338.12,SPCC364.05
SPCC4B3.02c,SPCC4B3.05c,SPCC4B3.06c,SPCC4B3.10c,SPCC4B3.11c,SPCC4G3.05c,SPCC4G3.13c,SPCC569.08c,SPCC576.04,SPCC777.04,SPCC970.06,SPCP20C8.01c
