SPCC613.08,SPBP22H7.06,SPAC57A10.04,SPAC12B10.15c,SPAC343.19,SPCC1827.08c,SPAC3A11.03,SPBC8D2.10c,SPCC1322.01,SPAP11E10.02c,SPAC17D4.04,SPAC25H1.03
SPBC649.02,SPCC16C4.12,SPBC21C3.01c,SPBC1198.09,SPCC1235.01,SPBC16H5.14c,SPBC19C2.14,SPBC27B12.14,SPBC409.03,SPBC725.12,SPCC4B3.01,SPAC186.02c
SPAC23A1.09,SPAC4F10.20,SPBC36.10,SPBC146.12,SPBC8D2.17,empty,SPBC23E6.02,SPBC1685.11,SPAC4D7.01c,SPCC1322.12c,SPAC4G8.03c,SPAC1006.09
SPCC1322.05c,SPAC6F6.04c,SPBC1604.01,SPBC2D10.14c,SPBC4F6.16c,SPCC285.05,SPBC8E4.04,SPCC162.11c,SPAC20G4.07c,SPAC186.09,SPCC830.07c,SPBC13G1.03c
SPAC23C11.06c,SPBC1271.01c,SPAC683.02c,SPBC2A9.02,SPBC582.06c,SPAC5D6.12,SPAC23C11.07,SPBC3E7.02c,SPBC4C3.09,SPBC106.08c,SPBC1703.07,SPBC839.02
SPAC3F10.18c,SPAC1F5.03c,SPAC23H4.16c,SPAC6F6.12,SPAC29E6.07,SPAC16A10.04,SPAC26A3.06,SPBC2F12.12c,SPAC2F7.04,SPBC36B7.04,SPAC22H10.13,SPAC23A1.02c
SPAC25B8.05,SPAC26H5.03,SPAC2F7.17,SPAC513.01c,SPAC806.03c,SPBC947.02,SPAC29A4.16,SPAC12B10.02c,SPAC22G7.04,SPBP23A10.12,SPAC22G7.05,SPAC26F1.04c
SPAC4G9.05,SPAP8A3.14c,SPBC21.07c,SPBC4F6.05c,SPBC646.09c,SPBC947.08c,SPBP35G2.11c,SPBP8B7.11,SPBP8B7.24c,SPCC126.12,SPCC1442.03,SPAC12B10.12c
