SPBC20F10.05,SPBC29A10.16c,SPBC2G2.03c,SPBC2G2.08,SPBC31F10.08,SPBC405.05,SPBC577.14c,SPBC800.12c,SPCC24B10.16c,SPCC320.14,SPCC70.08c,SPAC20H4.08
SPAC222.04c,SPAC31A2.14,SPAC7D4.08,SPAC823.15,SPAC823.16c,SPBC106.07c,SPBC16E9.06c,empty,SPBC19G7.16,SPBC1D7.04,SPBC354.04,SPBC365.03c
SPBC3B8.04c,SPBC713.08,SPBC83.01,SPCC70.09c,SPCC825.02,SPCP31B10.02,SPAC10F6.07c,SPAC139.02c,SPCC830.04c,SPAP27G11.12,SPBC1271.07c,SPBC16D10.01c
SPBC1709.01,SPBC215.14c,SPBC23G7.14,SPBC651.06,SPBPB2B2.07c,SPCC16A11.07,SPCC18.01c,SPAC1952.08c,SPAC23G3.04,SPAC57A10.09c,SPAC8F11.05c,SPBC1778.05c
SPBC19C7.05,SPBC4F6.08c,SPBC8D2.16c,SPCC1672.04c,SPCC18.06c,SPCC191.06,SPAC11G7.03,SPAC19E9.02,SPAC22F8.12c,SPAC9E9.11,SPBC11B10.08,SPBC2G2.10c
SPBC365.11,SPBC4B4.03,SPBC776.11,SPBP8B7.04,SPCC285.15c,SPAC11H11.02c,SPAC15F9.01c,SPAC23H3.06,SPAC25H1.09,SPAC26H5.04,SPAC32A11.01,SPAC3A12.10
SPAC8F11.09c,SPBC16H5.12c,SPBC21C3.19,SPBC3H7.09,SPBC839.03c,SPBC947.03c,SPCC569.04,SPCPB16A4.06c,SPAC10F6.17c,SPAC27E2.11c,SPAC29E6.05c,SPAC31G5.18c
SPAPB1A10.09,SPBC1198.03c,SPBC336.13c,SPBC776.14,SPBP8B7.02,SPBPJ4664.05,SPCC16C4.20c,SPAC1142.01,SPAC15A10.15,SPAC22F3.09c,SPAP7G5.03,SPBC725.09c
