,strain,ratio,before_wash,after_wash,sem,filtered_all_ratio_vals,n
43,R45,0.991474516739107,0.20957405827733838,0.21117516058577265,0.004570200592710145,"[0.9762848855784598, 0.9605505801402301, 1.0, 1.0, 1.0, 0.9779097016723801, 1.0, 1.0, 1.0, 1.0]",10
44,R46,0.0115345044650117,0.44619039993211274,0.005163495073777967,0.006125297033886086,"[0.006079575871018746, 0.042787847715611366, 0.0, 0.006283656288764889, 0.0, 0.05232623655188917, 0.0, 0.0, 0.0, 0.007867728222832819]",10
45,R47,0.16416390266445063,0.3510884659965995,0.055341994674362516,0.07268256296321964,"[0.015063541412978118, 0.18477127363071622, 0.13600155341531947, 0.02031384970272216, 0.0811134490806732, 0.05559852052212693, 0.08694597381140193, 0.17298887588281608, 0.091225563348192, 0.7976164258375602]",10
46,R48,0.010557209436532804,0.5108934506294236,0.005598924313809324,0.002213414173102808,"[0.017002618620906223, 0.017779521805155747, 0.012483130904183497, 0.013652133862696892, 0.004659147817492735, 0.0036441250742698843, 0.008563341342374811, 0.0037884307095001494, 0.0020649497806599524, 0.02193469444808815]",10
47,R49,0.08848483615334976,0.39986548070331807,0.03804348064082859,0.023335193246045136,"[0.08958596187572894, 0.2935364668832256, 0.06684149525441195, 0.05090016991436777, 0.05029663948258784, 0.05310455575942386, 0.05365809095135362, 0.058621443481882175, 0.07349792203380762, 0.0948056158967082]",10
48,R5,0.05919825653039856,0.4279519773734945,0.025598264318819525,0.00684810087399967,"[0.07192293581378854, 0.05096947007165153, 0.04688143698411156, 0.05178865526037583, 0.04789107106259713, 0.038918106438762, 0.06340947770700726, 0.06516952026709018, 0.04201352136338872, 0.11301837033521288]",10
49,R50,0.283046097961738,0.3629798682236104,0.11311603357896019,0.044057013759240995,"[0.3921967045517268, 0.46050650900719914, 0.3261812961587397, 0.38086149249350393, 0.14965114885427636, 0.1151362652705274, 0.1314332962768083, 0.2617181167340407, 0.1493238401714054, 0.46345231009915244]",10
50,R51,0.6961646330437411,0.3819130123911137,0.2685872768673832,0.07651949025491864,"[0.45067842898776683, 0.9485836518899139, 0.9785883269891903, 0.9868328340250635, 0.4768871998281317, 0.5217245220771903, 0.45630185547982477, 0.6069081728663783, 0.5619855592553854, 0.9731557790385658]",10
51,R52,0.3923734750113158,0.3416885684979373,0.1341527809817315,0.046271688498300365,"[0.3368426984360042, 0.6719769953671849, 0.4817936595522183, 0.5740152345952929, 0.34712361778900147, 0.2712412794578599, 0.19475077935458776, 0.39639572365827797, 0.27226069645784384, 0.37733406544488657]",10
52,R53,0.018032972990555746,0.45081841436642633,0.00808981829191784,0.007368032940910517,"[0.009093769886688011, 0.014036693385139522, 0.016197695400978217, 0.016602820077082307, 0.004740059184279363, 0.01335233882928712, 0.006995431302388319, 0.00656573206701476, 0.009450951567526813, 0.08329423820517304]",10
53,R54,0.9880314091306149,0.16599704562725517,0.17155445399534525,0.01075223525565608,"[0.9910888211333015, 1.0, 1.0, 1.0, 1.0, 0.913162451911618, 1.0, 1.0]",8
54,R6,0.03837837930585861,0.44748364701105514,0.016855944942723043,0.005002197629251959,"[0.04294860321624333, 0.033809968976472295, 0.01821731527290239, 0.023983874868272678, 0.04391495773763291, 0.034433130669095195, 0.03778606186044141, 0.03655136475572521, 0.03461338635304854, 0.07752512934875219]",10
55,R7,0.942867899543662,0.25134149875653,0.2434627208558661,0.037817495037222024,"[0.9929097531465373, 0.9847258435638109, 1.0, 0.998310474009867, 0.9175741264412782, 0.7252541612214619, 0.9813009384226785]",7
56,R8,0.05421383652622743,0.3318268565091985,0.016686776910297223,0.006773916787830765,"[0.05781164563531152, 0.052298743399530556, 0.019319713353504384, 0.0292346294152899, 0.06166253110185843, 0.052743633504323616, 0.06590664361307254, 0.06061161207386996, 0.0982387065976748, 0.044310506567838574]",10
57,R9,0.027085715537285206,0.4761453509758054,0.01280079098128504,0.002698658545968305,"[0.041026304279643454, 0.025050308436105756, 0.014916756058909691, 0.029027210878791884, 0.0382704491124713, 0.023008640650234155, 0.023125769991389093, 0.03262160544572553, 0.027534700336879853, 0.016275410182701296]",10
