Systematic ID	Gene name	Product description
SPCC1742.01	gsf2	"cell surface glycoprotein, galactose-specific flocculin Gsf2"
SPAPB15E9.01c	pfl2	"cell surface glycoprotein, flocculin Pfl2"
SPBC947.04	pfl3	"cell surface glycoprotein, flocculin Pfl3, DIPSY family"
SPCC188.09c	pfl4	"cell surface glycoprotein, flocculin Pfl4"
SPBC1289.15	pfl5	"cell surface glycoprotein, flocculin Pfl5"
SPAC977.07c	pfl6	"cell surface glycoprotein, flocculin Pfl6"
SPBC359.04c	pfl7	"cell surface glycoprotein, flocculin Pfl7, DIPSY family"
SPAC1F8.06	pfl8	"cell surface glycoprotein, flocculin Pfl8"
SPAC186.01	pfl9	"cell surface glycoprotein, flocculin Pfl9, DIPSY family"
