	WT-4	WT-5	WT-6	aps1-1	aps1-2	aps1-3	D333A-1	D333A-2	D333A-3
SPBP23A10.15c	26393	29828	28205	27691	28604	30733	31164	35651	30933
SPBP23A10.16	8073	8734	8289	8392	8159	8553	10493	11916	9791
SPBP23A10.17	593	702	645	726	684	740	386	438	557
SPBP26C9.02c	446	517	497	496	577	600	735	778	740
SPBP26C9.03c	360	353	412	350	299	381	433	415	398
SPBP35G2.02	1790	1779	1907	1489	1312	1528	3435	3841	3637
SPBP35G2.03c	222	292	294	270	213	187	314	317	399
SPBP35G2.04c	301	345	384	368	297	292	373	433	577
SPBP35G2.05c	1910	1825	1786	2422	1986	1946	1873	1869	2361
SPBP35G2.06c	890	983	913	820	810	807	1278	1379	1474
SPBP35G2.07	6869	7748	7254	6336	6646	7118	7924	8535	7363
SPBP35G2.08c	380	469	466	521	426	403	638	713	839
SPBP35G2.09	366	376	357	419	369	369	480	566	601
SPBP35G2.10	507	594	608	608	503	489	569	624	646
SPBP35G2.11c	1734	1969	1909	2057	1941	2086	2866	3302	2682
SPBP35G2.12	1139	1162	1210	1253	1122	1249	1823	1977	1888
SPBP35G2.13c	286	353	381	371	316	281	730	754	807
SPBP35G2.14	6436	7131	6656	7967	7761	8391	7781	8463	7858
SPBP35G2.16c	3902	3869	4039	2242	2246	2488	4721	5510	3697
SPBP35G2.17	66	71	95	73	56	53	163	205	255
SPBP4G3.02	40490	46051	51867	136629	150882	158515	2828	3341	2113
SPBP4G3.03	4	2	8	2	11	4	56	84	131
SPBP4H10.03	3005	3124	3259	3141	3122	3247	2865	3365	3075
SPBP4H10.04	2327	2593	2485	2869	2488	2584	2417	2478	3081
SPBP4H10.05c	6528	6875	6533	6132	6103	6333	7421	8708	8559
SPBP4H10.06c	1030	1342	1413	1337	1177	1022	1457	1713	2355
SPBP4H10.07	1680	1813	1739	1814	1610	1816	1533	1711	1790
SPBP4H10.08	2800	3095	3036	3172	3211	3240	4803	4915	5269
SPBP4H10.09	16	12	16	9	5	10	15	21	19
SPBP4H10.10	98	109	104	96	83	79	267	311	271
SPBP4H10.11c	3161	3296	3285	3843	3782	4024	3274	3563	2855
SPBP4H10.12	610	704	742	627	678	665	906	1044	854
SPBP4H10.13	11355	12389	12256	11948	11635	11595	11999	13196	12956
SPBP4H10.14c	4689	4999	5071	5155	5368	5499	3546	4120	3769
SPBP4H10.15	13228	14330	13129	13427	13076	13962	6976	7342	9458
SPBP4H10.16c	1145	1246	1144	1299	1271	1477	1608	1926	1534
SPBP4H10.17c	1152	1229	1142	1402	1341	1397	986	1008	1161
SPBP4H10.18c	653	871	965	752	701	617	1450	1554	2018
SPBP4H10.19c	1015	1089	1032	958	973	993	1093	1140	1257
SPBP4H10.20	552	634	663	663	541	518	897	1013	1261
SPBP4H10.21c	992	1015	960	1174	992	1081	1218	1361	1471
SPBP8B7.01c	399	522	551	492	418	433	940	1010	1059
SPBP8B7.02	212	268	290	231	185	161	449	493	553
SPBP8B7.03c	43604	50824	48296	47077	48225	50113	37043	38992	41195
SPBP8B7.04	41	50	44	43	36	28	89	88	108
SPBP8B7.05c	7322	8374	7290	7244	6751	7519	5883	6872	6693
SPBP8B7.06	24743	27196	27385	31552	28479	27678	24499	24214	26336
SPBP8B7.07c	952	907	859	959	910	935	520	632	814
SPBP8B7.08c	425	466	570	672	470	413	856	859	1001
SPBP8B7.09c	3564	3507	3219	3439	3117	3134	2223	2366	2945
SPBP8B7.10c	688	802	956	821	705	646	971	1121	1249
SPBP8B7.11	4333	4641	4566	5763	4977	4872	4167	4783	6267
SPBP8B7.12c	2817	2902	2920	3196	2737	2664	3783	3980	4360
SPBP8B7.13	1041	1215	1134	1084	1065	1081	921	1046	1068
SPBP8B7.14c	2793	2783	2776	2736	2622	2791	1851	2042	2297
SPBP8B7.15c	2272	2507	2372	2155	1966	2273	2499	2861	2629
SPBP8B7.16c	7318	8004	8552	10206	8186	9042	6051	6770	5652
SPBP8B7.17c	2427	2723	2512	2722	2672	2963	3042	3429	3602
SPBP8B7.18c	1778	1761	1637	1906	1855	1717	733	786	1030
SPBP8B7.19	1885	2263	2362	2503	2004	1985	2055	2086	3279
SPBP8B7.20c	3214	3663	3605	4232	3622	3518	3728	3882	4703
SPBP8B7.21	4562	4707	4292	4641	3976	4360	2966	2992	3539
SPBP8B7.22	3998	4627	4391	4050	4042	4328	6029	6802	6701
SPBP8B7.23	1560	1881	1740	1831	1762	1954	1825	1919	2374
SPBP8B7.24c	1353	1346	1391	1308	1304	1447	1478	1751	1729
SPBP8B7.25	14937	15838	15596	13413	12678	12854	16825	18703	19583
SPBP8B7.26	2531	2607	2407	3447	3826	4143	1684	1892	2696
SPBP8B7.27	308	364	389	406	351	304	497	532	677
SPBP8B7.28c	158	168	178	129	109	113	352	314	399
SPBP8B7.29	1054	1021	993	1062	950	1012	922	1109	1243
SPBP8B7.30c	1870	2096	1927	2076	1813	1868	1746	2009	1868
SPBP8B7.31	305	309	365	369	331	307	503	522	547
SPBP8B7.32	1419	1404	1282	2151	1980	2020	1612	1928	1866
SPBPB10D8.01	704	657	693	1133	1142	1102	692	922	1776
SPBPB10D8.02c	84	80	57	101	87	86	392	450	1386
SPBPB10D8.03	22	26	20	37	47	33	52	48	149
SPBPB10D8.04c	42	44	57	41	25	36	189	228	168
SPBPB10D8.05c	0	0	0	0	0	0	0	0	0
SPBPB10D8.06c	0	0	0	0	0	0	0	0	1
SPBPB10D8.07c	9	3	2	5	7	5	19	15	13
SPBPB21E7.01c	98	108	118	66	59	43	90	108	204
SPBPB21E7.02c	0	1	1	0	0	1	8	1	8
SPBPB21E7.04c	43	63	40	32	17	18	1264	1438	1559
SPBPB21E7.05	0	0	0	0	0	0	0	0	0
SPBPB21E7.06	2	2	1	1	1	0	1	1	4
SPBPB21E7.07	2330	2286	2428	1309	1286	1268	4611	5385	5089
SPBPB21E7.08	889	991	1243	2702	1914	1795	677	661	1021
SPBPB21E7.09	557	604	590	746	639	736	737	902	819
SPBPB21E7.10	0	0	1	0	0	0	2	1	4
SPBPB21E7.11	14	7	10	4	2	8	27	44	49
SPBPB2B2.01	739	942	912	858	839	825	901	1391	1129
SPBPB2B2.02	113	158	126	110	91	82	156	181	349
SPBPB2B2.05	77	81	81	89	103	93	98	119	317
SPBPB2B2.06c	315	411	357	2233	2199	2320	35	35	125
SPBPB2B2.07c	2	1	4	3	0	3	0	1	3
SPBPB2B2.08	15	15	23	35	18	20	13	25	55
SPBPB2B2.09c	817	1044	1086	668	512	489	1516	1559	2370
SPBPB2B2.10c	131	154	199	163	191	179	265	273	357
SPBPB2B2.11	146	138	137	78	79	72	199	216	293
SPBPB2B2.12c	125	164	178	82	79	55	284	294	559
SPBPB2B2.13	394	516	466	383	363	329	579	605	824
SPBPB2B2.14c	1	3	1	2	0	1	2	1	1
SPBPB2B2.15	0	0	0	1	0	0	0	0	0
SPBPB2B2.16c	0	0	0	0	0	0	0	0	0
SPBPB2B2.17c	0	0	0	0	0	0	0	0	1
SPBPB2B2.18	2	4	3	0	3	0	11	4	7
SPBPB2B2.19c	65	57	74	55	45	46	39	39	60
SPBPB7E8.01	8329	7757	9593	17077	13962	16733	7653	7728	8469
SPBPB7E8.02	1312	1365	1332	900	810	845	1100	1149	1324
SPBPB8B6.02c	8	18	16	14	8	10	8	10	7
SPBPB8B6.03	26	29	43	23	13	13	20	23	38
SPBPB8B6.04c	176	171	152	104	101	92	30	52	87
SPBPB8B6.05c	1161	1198	1054	1199	1206	1175	1065	1168	1240
SPBPB8B6.06c	420	426	427	523	455	504	236	259	301
SPBPJ4664.01	1543	1835	1580	1697	1624	1683	900	996	1344
SPBPJ4664.02	1102	1185	1111	1232	1235	1247	1100	1178	1226
SPBPJ4664.03	26	28	28	24	27	24	29	50	32
SPBPJ4664.04	9719	10421	9513	9574	9306	10059	7876	8529	8880
SPBPJ4664.05	2899	3541	3226	3229	3419	3705	4651	5839	5087
SPBPJ4664.06	4080	4312	3965	4380	3776	4056	4334	4650	4902
SPBTRIDT.04	0	0	0	0	0	0	0	0	0
SPBTRIDT.05	0	0	0	2	0	0	0	0	1
SPBTRIDT.06	0	0	0	0	0	0	0	0	0
SPBTRNAALA.07	0	0	0	0	0	0	0	1	0
SPBTRNAALA.08	0	0	0	0	0	0	0	0	0
SPBTRNAALA.09	0	0	0	0	0	0	0	0	0
SPBTRNAALA.10	0	0	0	0	0	0	0	0	0
SPBTRNAALA.11	0	0	0	0	0	0	0	0	0
SPBTRNAARG.04	0	0	0	0	0	0	0	0	0
SPBTRNAARG.05	0	0	0	0	0	0	0	0	0
SPBTRNAARG.06	0	0	0	0	0	0	0	0	0
SPBTRNAARG.07	0	0	0	0	0	0	0	0	0
SPBTRNAASN.01	0	0	0	0	0	2	2	1	0
SPBTRNAASN.02	0	0	0	0	0	0	1	0	1
SPBTRNAASN.03	1	3	0	0	1	0	0	2	2
SPBTRNAASN.04	1	0	0	1	0	0	2	1	7
SPBTRNAASP.04	0	0	0	0	0	0	0	2	0
SPBTRNAASP.05	0	0	0	0	0	0	0	0	0
SPBTRNAGLN.01	0	0	0	0	0	0	0	1	1
SPBTRNAGLN.02	0	0	0	2	0	0	2	4	2
SPBTRNAGLN.03	0	1	0	0	0	0	0	0	2
SPBTRNAGLN.04	0	0	0	0	0	0	0	0	0
SPBTRNAGLU.05	3	0	2	2	0	2	1	3	0
SPBTRNAGLU.06	0	0	0	0	0	0	0	0	0
SPBTRNAGLU.07	0	0	0	0	0	0	0	0	0
SPBTRNAGLU.08	0	0	1	0	0	0	0	0	0
SPBTRNAGLY.03	1	0	0	0	0	0	0	0	0
SPBTRNAGLY.04	0	0	0	0	0	1	0	0	0
SPBTRNAGLY.05	0	0	0	0	0	0	0	0	0
SPBTRNAGLY.06	0	0	0	0	0	0	0	0	0
SPBTRNAGLY.07	0	0	0	0	0	0	0	0	0
SPBTRNAGLY.08	0	0	0	0	0	0	0	0	0
SPBTRNAGLY.09	0	0	0	1	0	0	0	0	0
SPBTRNAHIS.01	0	0	0	0	0	0	0	0	0
SPBTRNAHIS.02	0	0	0	0	0	0	0	0	0
SPBTRNAILE.05	0	0	0	0	0	0	0	0	0
SPBTRNAILE.06	0	0	0	0	0	0	0	0	0
SPBTRNAILE.07	0	0	0	2	0	0	0	1	0
SPBTRNAILE.08	0	0	0	0	0	0	0	0	0
SPBTRNALEU.05	1	0	1	0	0	0	3	0	2
SPBTRNALEU.06	0	0	0	0	0	0	0	0	0
SPBTRNALEU.07	0	0	0	0	0	0	0	0	0
SPBTRNALEU.08	0	1	0	0	0	0	0	2	1
SPBTRNALEU.09	0	0	1	1	0	0	0	0	0
SPBTRNALEU.10	0	0	0	1	0	0	2	1	1
SPBTRNALYS.06	0	0	0	0	0	0	0	1	0
SPBTRNALYS.07	0	0	0	0	0	0	0	0	0
SPBTRNALYS.08	0	0	0	0	0	0	0	0	0
SPBTRNALYS.09	0	0	0	0	0	0	0	3	1
SPBTRNAPHE.03	0	0	1	0	0	1	0	1	0
SPBTRNAPRO.04	0	0	1	0	0	0	0	1	1
SPBTRNAPRO.05	0	0	0	0	0	0	0	0	0
SPBTRNAPRO.06	0	0	0	0	0	0	0	0	0
SPBTRNAPRO.07	0	0	0	0	0	0	1	2	2
SPBTRNAPRO.08	0	0	0	0	0	0	0	0	0
SPBTRNASER.05	0	0	1	0	0	0	0	0	0
SPBTRNASER.06	0	0	0	0	0	0	0	0	0
SPBTRNATHR.06	0	0	0	0	0	0	0	0	0
SPBTRNATHR.07	0	0	0	1	0	1	0	0	0
SPBTRNATRP.02	0	0	0	0	0	0	0	0	0
SPBTRNATRP.03	0	0	0	0	0	1	1	0	0
SPBTRNATYR.02	0	0	0	0	0	0	0	0	0
SPBTRNATYR.03	0	0	0	0	0	0	0	0	0
SPBTRNATYR.04	0	0	0	0	0	0	1	0	0
SPBTRNAVAL.05	0	0	0	0	0	0	0	0	0
SPBTRNAVAL.06	0	0	0	0	0	0	0	0	0
SPBTRNAVAL.07	0	0	0	0	0	0	0	0	0
SPBTRNAVAL.08	0	0	0	0	0	0	0	0	0
SPCC1020.01c	16	14	15	15	16	22	19	8	16
SPCC1020.02	877	1054	1232	1133	975	984	803	903	1066
SPCC1020.03	333	383	368	386	372	436	588	740	664
SPCC1020.04c	4468	4569	4465	4945	4123	4055	3938	4393	4314
SPCC1020.05	1677	1964	2002	3156	2528	2780	1726	1754	1841
SPCC1020.06c	18415	20046	18060	14945	16552	17526	9444	10812	13795
SPCC1020.07	1018	1085	1103	1438	1518	1523	1446	1697	1454
SPCC1020.08	4085	4546	4412	4880	4116	4097	4613	4906	4893
SPCC1020.09	70	70	78	108	101	59	327	274	348
SPCC1020.10	1079	1027	1031	925	1094	996	1359	1625	1454
SPCC1020.11c	1368	1538	1531	1591	1506	1720	2109	2589	2446
SPCC1020.12c	174	217	249	216	203	250	435	525	485
SPCC1020.13c	873	852	856	972	747	799	798	833	1067
