	WT-4	WT-5	WT-6	aps1-1	aps1-2	aps1-3	D333A-1	D333A-2	D333A-3
SPAC1002.01	243	310	262	245	249	275	275	333	311
SPAC1002.02	3726	4342	4078	3443	3588	3910	3773	4494	4497
SPAC1002.03c	3809	4285	4092	4908	4295	4407	5271	5734	5665
SPAC1002.04c	292	371	401	405	309	306	467	540	623
SPAC1002.05c	466	421	458	484	417	467	543	557	654
SPAC1002.06c	8	5	13	6	13	2	7	5	10
SPAC1002.07c	630	731	776	770	637	674	1648	1676	2185
SPAC1002.08c	1868	2042	1914	2243	2028	2144	1689	1879	2001
SPAC1002.09c	10591	11589	10672	9455	8882	9111	6935	7322	8434
SPAC1002.10c	421	527	549	567	390	424	572	622	855
SPAC1002.11	1583	1616	1554	1686	1511	1631	2106	2380	2216
SPAC1002.12c	647	725	693	898	845	866	650	710	1061
SPAC1002.13c	18133	19944	20192	23893	24523	24661	22686	24868	21303
SPAC1002.14	1363	1515	1318	1711	1493	1574	1615	1826	1774
SPAC1002.15c	569	623	682	640	513	457	786	845	998
SPAC1002.16c	556	544	622	757	763	907	718	874	587
SPAC1002.17c	2466	3249	3936	7007	5770	6906	10315	13164	17265
SPAC1002.18	3355	4022	4001	5272	4767	4936	6359	7586	8072
SPAC1002.19	1425	1849	2287	3997	3418	3917	6843	7514	10462
SPAC1002.20	12	28	12	15	9	5	20	22	30
SPAC1006.01	2572	2819	2837	2445	2358	2531	4426	4844	4551
SPAC1006.02	1421	1434	1337	1502	1431	1488	1443	1539	1557
SPAC1006.03c	787	1007	1183	1117	968	969	1036	1157	1382
SPAC1006.04c	156	176	145	221	173	191	273	407	300
SPAC1006.05c	1109	1151	1114	1170	973	1145	1221	1317	1177
SPAC1006.06	5228	5809	5522	5443	4759	5181	3850	4074	4402
SPAC1006.07	80280	90804	84641	78356	84282	91037	120536	140974	117429
SPAC1006.08	504	638	723	710	479	538	793	753	814
SPAC1006.09	3623	3982	3786	3634	3297	3597	2710	2980	2731
SPAC1039.01	1769	1947	2122	2082	2096	2452	1609	1927	1768
SPAC1039.02	7381	8070	9213	18889	19672	23204	12213	13476	13479
SPAC1039.03	2085	2214	2148	2590	2421	2426	2209	2426	2370
SPAC1039.04	965	973	1022	1016	972	953	1075	1091	1055
SPAC1039.05c	1675	1726	1678	1944	1693	1830	964	982	1049
SPAC1039.06	1510	1621	1582	1218	1275	1480	1854	1860	1877
SPAC1039.07c	1291	1272	1244	1289	1213	1181	935	1050	1078
SPAC1039.08	67	85	111	104	80	84	116	101	163
SPAC1039.09	267	375	388	175	150	174	727	868	1044
SPAC1039.10	57	63	54	51	42	60	59	79	135
SPAC1039.11c	1799	1907	1904	1912	1869	1919	1621	1804	1984
SPAC105.01c	916	952	977	1074	890	1044	844	914	871
SPAC105.02c	5785	6156	5767	5503	5662	6042	6559	7543	7228
SPAC105.03c	3564	3991	3819	3492	3480	3908	4271	4957	4524
SPAC1071.01c	3589	3703	3229	3688	3322	3530	2625	2741	3620
SPAC1071.02	1108	1119	1047	1108	1061	1084	889	982	1247
SPAC1071.03c	2817	3299	3219	2796	2439	2534	3706	3851	4305
SPAC1071.04c	463	489	487	438	402	437	603	641	674
SPAC1071.05	3681	3953	3908	4106	3817	4013	3271	3600	3896
SPAC1071.06	1043	1257	1273	1397	1246	1173	1339	1391	1802
SPAC1071.07c	22962	25758	25261	20881	22949	23578	32862	37456	34121
SPAC1071.08	4510	4746	4455	4699	4404	4535	2891	3155	3599
SPAC1071.09c	596	630	858	887	678	641	1220	1204	1617
SPAC1071.10c	90732	89989	87833	101319	103575	108437	104434	114870	104987
SPAC1071.11	2318	2525	2422	2462	2379	2462	2884	3674	3051
SPAC1071.12c	422	505	586	554	465	439	681	729	847
SPAC1071.13	663	727	790	909	793	847	1256	1497	1196
SPAC1093.01	4308	4380	4245	4740	4747	5023	6494	7350	6338
SPAC1093.02	4877	5202	5160	4684	4376	4531	5931	6096	6485
SPAC1093.03	1790	1761	1652	1626	1399	1601	1247	1299	1471
SPAC1093.04c	733	821	859	952	843	818	1163	1247	1694
SPAC1093.05	2136	2446	2490	2985	2361	2251	2396	2558	3092
SPAC1093.06c	570	543	520	555	486	517	325	365	515
SPAC1093.07	58	61	66	62	36	50	188	196	225
SPAC10F6.01c	16929	17767	16898	17819	15737	17141	22594	22659	20903
SPAC10F6.02c	978	1268	1261	1424	1223	1038	1150	1296	1586
SPAC10F6.03c	18160	19147	17252	19766	18740	18821	18091	18388	19139
SPAC10F6.04	492	489	509	547	449	418	780	714	801
SPAC10F6.05c	1371	1537	1440	1536	1578	1756	2685	3045	2693
SPAC10F6.06	15562	15811	14972	13863	14168	14174	14099	16690	19054
SPAC10F6.07c	76	124	116	89	70	80	189	183	226
SPAC10F6.08c	330	383	422	444	383	342	439	472	583
SPAC10F6.09c	836	1076	1090	1038	875	832	1036	956	1425
SPAC10F6.10	667	808	941	1053	811	812	1095	1130	1292
SPAC10F6.11c	678	855	846	816	720	662	997	1104	1270
SPAC10F6.12c	2024	2108	2077	2156	2059	2048	1696	1786	2333
SPAC10F6.13c	6734	8018	7826	5682	5889	6059	11833	13481	10559
SPAC10F6.14c	711	926	950	867	727	723	1018	1088	1410
SPAC10F6.15	23	23	31	20	15	12	37	34	37
SPAC10F6.16	3485	3849	3705	3654	3568	3778	4874	5518	4104
SPAC10F6.17c	853	1039	1069	1087	1007	1068	1037	1133	1292
SPAC110.01	3620	3865	3480	3243	3192	3354	2131	2295	1940
SPAC110.02	665	854	795	929	879	798	790	939	1191
SPAC110.03	9307	10065	9667	8746	9115	9415	13266	14933	14102
SPAC110.04c	28668	31862	30361	30997	32947	32702	31476	33351	40265
SPAC110.05	207	258	227	138	125	136	195	259	246
SPAC1142.01	1073	1337	1421	1343	1155	1086	1500	1679	2030
SPAC1142.02c	3050	3428	3229	3799	3633	3540	2945	3360	3653
SPAC1142.03c	1314	1563	1702	1565	1339	1400	1583	1903	2200
SPAC1142.04	2933	3660	3551	3536	3101	3090	4280	4601	5357
SPAC1142.05	1710	1788	1744	1664	1394	1757	2219	2478	2434
SPAC1142.06	4117	4327	3879	3988	3867	3872	4021	4573	4838
SPAC1142.07c	725	981	994	802	670	644	1191	1344	1539
SPAC1142.08	1650	1876	1809	2035	1852	1883	1716	1858	2263
SPAC1142.09	5	0	2	1	1	2	6	3	8
SPAC11D3.01c	167	223	211	79	75	83	1209	1203	1206
SPAC11D3.02c	2009	2431	2786	1501	1358	1350	3052	3342	3471
SPAC11D3.03c	54	39	64	60	44	50	130	113	130
SPAC11D3.04c	2192	2322	2195	2362	2128	2210	2338	2537	2720
SPAC11D3.05	360	375	385	658	578	580	277	384	370
SPAC11D3.06	501	471	527	558	523	610	479	540	501
SPAC11D3.07c	894	1030	1017	1044	894	1024	995	1079	1237
SPAC11D3.08c	1643	1605	1679	1794	1655	1638	2403	2641	2245
SPAC11D3.09	96	89	103	37	55	43	212	205	213
SPAC11D3.10	197	209	222	266	200	232	300	302	364
SPAC11D3.11c	955	1117	1115	1177	1114	1141	805	941	1117
SPAC11D3.13	1262	1292	1132	781	769	700	929	1149	1984
SPAC11D3.14c	472	489	604	885	586	608	552	588	602
SPAC11D3.15	1568	1619	1664	2454	2074	2152	1011	1167	1534
SPAC11D3.16c	1190	1342	1231	972	1008	1044	2255	2810	2062
SPAC11D3.17	681	729	717	502	477	469	1938	2296	1593
SPAC11D3.18c	310	276	298	238	227	213	924	1059	672
SPAC11D3.19	163	213	186	65	91	83	324	348	220
SPAC11D3.20	7	8	9	12	7	7	29	20	10
SPAC11E3.01c	744	952	1038	996	676	788	1140	1156	1445
SPAC11E3.02c	1525	1585	1613	1746	1460	1472	1371	1531	2018
SPAC11E3.03	218	294	408	339	250	216	544	658	769
SPAC11E3.04c	998	1119	1156	989	1084	1033	1272	1594	1532
SPAC11E3.05	1333	1354	1256	1321	1189	1206	1222	1203	1555
SPAC11E3.06	123	185	206	119	113	111	61	83	93
SPAC11E3.07	4024	4499	4382	4726	4185	4186	4234	4739	5230
SPAC11E3.08c	247	243	306	335	257	249	283	360	378
SPAC11E3.09	1030	1048	1072	1028	859	844	1059	1169	1298
SPAC11E3.10	2158	2326	2412	2246	2351	2439	3421	4143	3832
SPAC11E3.11c	3291	3207	3124	3567	3125	3288	2876	3374	3361
SPAC11E3.12	401	483	486	465	349	339	724	801	677
SPAC11E3.13c	8067	7816	7898	6924	6539	7227	10515	11077	8396
SPAC11E3.14	2080	2188	2074	2408	2206	2405	2795	3218	2625
SPAC11E3.15	25852	27773	27215	26031	25956	27258	34940	38748	39781
SPAC11G7.01	5764	6112	5992	5936	6118	6222	9525	10750	7965
SPAC11G7.02	6954	7541	6704	7391	7431	7968	6447	7166	6875
SPAC11G7.03	2890	3058	2971	2669	2511	2864	2224	2608	2940
SPAC11G7.04	35663	42332	39558	37036	38223	39445	44089	49555	42654
SPAC11G7.05c	1201	1224	1153	1286	1137	1167	1081	1084	1118
SPAC11G7.06c	887	895	918	778	779	826	891	1046	960
SPAC11H11.01	206	255	277	301	256	241	406	425	597
SPAC11H11.02c	548	635	597	748	637	684	917	1017	1051
SPAC11H11.03c	187	260	291	339	278	217	434	473	485
SPAC11H11.04	268	280	296	236	195	202	154	182	157
SPAC11H11.05c	33	34	58	37	40	40	69	58	93
SPAC11H11.06	7869	8524	8459	8328	8069	8318	10283	11026	10923
SPAC1250.01	1271	1490	1583	1861	1512	1410	1512	1627	2014
SPAC1250.02	11	12	11	8	10	3	20	30	25
SPAC1250.03	1039	1227	1087	1058	1029	1117	1075	1314	1379
SPAC1250.04c	120	148	175	160	154	127	204	262	229
SPAC1250.05	2504	2838	2553	2562	2791	2963	3014	3849	2781
SPAC1250.07	0	0	0	0	0	0	0	0	0
SPAC1296.01c	2711	2921	2917	3200	2796	3022	2295	2573	2984
SPAC1296.02	3863	4095	4066	4417	4695	4561	4169	4917	4385
SPAC1296.03c	385	420	402	476	420	373	595	543	594
SPAC1296.04	1200	1285	1216	1585	1535	1534	854	1128	995
SPAC1296.05c	677	742	695	778	790	755	645	712	765
SPAC1296.06	526	546	516	613	515	467	559	627	824
SPAC12B10.01c	1843	1947	1927	1681	1575	1611	1689	1835	2147
SPAC12B10.02c	2554	2882	2714	2648	2632	2656	3552	4154	4212
SPAC12B10.03	1307	1374	1330	1331	1308	1418	1397	1556	1484
SPAC12B10.04	535	664	640	674	664	535	841	1015	1320
SPAC12B10.05	347	523	557	652	447	448	544	620	1013
SPAC12B10.06c	424	518	593	550	432	430	747	913	1043
SPAC12B10.07	752	870	1028	838	758	621	1333	1357	1932
SPAC12B10.08c	146	184	216	172	155	143	275	283	325
SPAC12B10.09	503	520	541	638	560	508	462	565	623
SPAC12B10.10	486	574	477	562	490	508	320	326	418
SPAC12B10.11	836	686	749	880	760	770	685	734	852
SPAC12B10.12c	782	933	974	904	794	747	1017	1060	1277
SPAC12B10.13	581	614	563	652	545	554	725	853	897
SPAC12B10.14c	2070	2278	2062	2410	2241	2476	1523	1741	2114
SPAC12B10.15c	225	231	234	264	260	238	117	172	202
SPAC12B10.16c	2437	2554	2584	2757	2761	2826	3707	4148	4494
SPAC12G12.01c	3013	3093	2937	3368	2699	2934	2118	2278	2865
SPAC12G12.02	788	983	993	973	877	818	1326	1444	1573
SPAC12G12.03	4761	5025	4586	5169	4972	5261	3310	3873	3624
SPAC12G12.04	35229	39951	34963	29770	29975	30232	40993	42862	45617
SPAC12G12.05c	1354	1535	1417	1576	1395	1413	1603	2018	2156
SPAC12G12.06c	7157	7885	7337	7371	6983	7467	9248	10372	10066
SPAC12G12.07c	1897	2550	2633	2298	2011	1873	3357	3446	4651
SPAC12G12.08	762	1018	1111	1021	878	755	1585	1587	2209
SPAC12G12.09	1222	1288	1189	1321	1204	1246	776	841	896
SPAC12G12.10	1366	1330	1318	1603	1315	1288	1157	1286	1531
SPAC12G12.11c	660	905	981	955	717	741	1441	1487	2005
SPAC12G12.12	2134	2464	2222	2281	2349	2475	3506	4091	4126
SPAC12G12.13c	1489	1834	1981	1757	1475	1435	2676	2770	3323
SPAC12G12.14c	508	592	576	775	660	621	530	551	715
SPAC12G12.15	1548	1706	1568	1544	1632	1678	1287	1476	1563
SPAC12G12.16c	427	511	580	496	394	363	1038	1034	1126
SPAC12G12.17	178	175	210	185	167	165	251	307	297
SPAC1327.01c	4100	4416	4034	3828	3888	4196	3774	4374	3850
SPAC139.01c	4580	4804	4613	5263	4737	5070	3331	3879	4725
SPAC139.02c	4899	5352	5263	3342	3593	3874	9528	11263	8352
SPAC139.03	1782	1827	1720	1701	1535	1617	1938	2177	1893
SPAC139.04c	1398	1428	1291	1595	1428	1448	1276	1411	1533
SPAC139.05	101	98	75	79	110	99	177	186	162
SPAC139.06	651	990	981	953	815	731	1296	1455	1890
SPAC1399.01c	826	892	879	598	641	702	1468	1686	999
SPAC1399.02	1263	1334	1309	1085	1144	1308	1078	1259	917
SPAC1399.03	4025	4890	4063	3949	4170	4354	4727	5015	4601
SPAC1399.04c	751	860	1016	1201	1093	1222	1858	2331	3600
SPAC1399.05c	940	958	971	1079	935	1095	788	939	933
SPAC1399.06	735	795	721	553	639	583	627	727	836
SPAC13A11.01c	2280	2451	2587	2895	2656	2597	3134	3257	3496
SPAC13A11.02c	19465	19707	18358	16612	16435	18024	25951	28992	25740
SPAC13A11.03	11	18	15	8	7	6	28	50	77
SPAC13A11.04c	513	520	523	497	443	418	665	714	797
SPAC13A11.05	5119	5331	5241	4806	4852	5064	7358	7922	6457
SPAC13A11.06	151	135	151	162	183	191	312	349	313
SPAC13C5.01c	3117	3399	3456	3316	2751	2651	4323	4628	5919
SPAC13C5.02	531	689	774	659	470	458	628	823	1174
SPAC13C5.03	272	275	342	308	265	231	337	306	440
SPAC13C5.04	271	327	354	265	288	280	478	511	609
SPAC13C5.05c	975	1086	941	1075	1020	1086	946	1063	1412
SPAC13C5.06c	820	885	712	874	669	729	860	896	964
SPAC13C5.07	837	1036	1117	1212	960	933	1460	1622	1904
SPAC13D1.01c	0	0	1	0	0	0	12	0	7
SPAC13D6.01	140	142	149	138	123	132	418	536	563
SPAC13D6.02c	16250	16559	16134	17621	17348	18765	11421	13062	12178
SPAC13D6.03c	565	690	850	852	585	551	914	1077	1149
SPAC13D6.04c	934	1083	878	1152	923	906	1227	1259	1545
SPAC13D6.05	664	779	809	760	660	632	1394	1505	1816
SPAC13F5.01c	355	391	459	474	399	380	546	575	824
SPAC13F5.02c	556	695	684	779	589	588	940	939	1215
SPAC13F5.03c	144	119	133	132	92	69	117	170	176
SPAC13F5.04c	56	33	43	48	43	53	43	24	30
SPAC13F5.05	1434	1437	1347	1459	1413	1537	2150	2381	2420
SPAC13F5.06c	801	842	884	1045	866	830	745	850	1202
SPAC13F5.07c	59	68	55	46	37	39	38	61	60
SPAC13G6.01c	2190	2434	2464	2497	2021	2014	2602	2776	3451
SPAC13G6.02c	41385	43803	41609	42186	39702	38700	40385	42976	41058
SPAC13G6.03	2704	2971	2901	3733	3573	3784	2390	2967	2169
SPAC13G6.04	479	604	632	409	321	402	878	1002	971
SPAC13G6.05c	306	460	479	552	433	471	506	538	843
SPAC13G6.06c	6253	6312	6290	7576	6772	7678	3819	4377	3984
SPAC13G6.07c	61385	70503	66459	63055	64285	67185	57827	64560	60419
SPAC13G6.08	91	104	107	138	81	67	77	67	78
SPAC13G6.09	780	997	1015	951	838	737	1193	1325	1698
SPAC13G6.10c	45783	50837	49004	50313	50424	54014	63745	71070	54876
SPAC13G6.11c	1740	1905	1834	2110	1650	1740	1841	1983	2307
SPAC13G6.12c	545	492	521	958	741	755	716	823	834
SPAC13G6.13	4	1	3	2	2	2	1	3	5
SPAC13G6.14	2634	2537	2516	224	137	155	1827	2073	2131
SPAC13G6.15c	690	737	691	704	655	701	977	1042	1005
SPAC13G7.01c	2378	2712	2561	3309	2971	3013	3003	3225	3565
SPAC13G7.02c	2036	2302	1593	733	996	996	3842	4454	7976
SPAC13G7.03	274	378	364	339	270	303	525	552	615
SPAC13G7.04c	5638	6121	5801	5438	5328	5727	6836	7686	6319
SPAC13G7.05	1112	1191	1119	1354	1242	1325	2009	2203	1942
SPAC13G7.06	1837	2311	2204	2410	2248	2309	2840	3324	3339
SPAC13G7.07	89	110	133	137	132	91	103	144	173
SPAC13G7.08c	3620	3853	3693	3996	3743	3882	2910	3266	3513
SPAC13G7.09c	344	429	425	372	298	323	636	763	796
SPAC13G7.10	899	900	819	949	877	994	652	798	825
SPAC13G7.11	971	1102	1002	1213	1048	1058	1095	1196	1286
SPAC13G7.12c	2260	2383	2257	2013	1870	1946	2497	2804	3307
SPAC13G7.13c	1211	1150	1227	3123	2822	3221	1729	2098	1372
SPAC140.01	10903	12228	11384	10962	10815	11561	12235	13435	11559
SPAC140.02	13748	14614	14682	16175	14862	15135	11307	12077	14180
SPAC140.03	354	494	566	568	538	453	591	668	886
SPAC140.04	173	193	229	188	139	145	403	370	403
SPAC1420.01c	6443	6984	6445	6657	6577	6855	3747	4202	4485
SPAC1420.02c	5229	5544	5619	6345	5547	5443	5459	5927	7312
SPAC1420.03	246	273	279	246	236	185	336	371	506
SPAC1420.04c	304	300	228	321	244	280	176	213	296
SPAC144.01	216	297	317	313	283	278	512	594	557
SPAC144.02	893	962	954	1160	901	976	1032	1104	1371
SPAC144.03	8021	9472	9413	9204	9632	9784	12685	14068	10894
SPAC144.04c	8600	9605	8964	7903	7662	7512	8982	9695	7892
SPAC144.05	758	879	935	1027	877	861	1052	1202	1427
SPAC144.06	1177	1276	1208	1556	1324	1419	1128	1239	1617
SPAC144.07c	435	464	482	465	401	336	527	537	691
SPAC144.08	564	579	574	517	396	419	441	511	557
SPAC144.09c	702	912	948	732	663	598	1546	1684	1871
SPAC144.10c	1811	1944	1856	1707	1657	1835	2842	3255	2697
SPAC144.11	10286	11466	11454	10133	10856	10550	13121	14615	12597
SPAC144.12	8676	9386	9266	8547	8291	8474	11289	12605	10573
SPAC144.13c	1091	1172	1224	1010	869	1018	1132	1219	1141
SPAC144.14	616	683	648	766	628	687	375	447	416
SPAC144.15c	1767	1709	1579	1856	1608	1670	1272	1386	1717
SPAC144.16	669	832	833	781	694	719	1133	1293	1486
SPAC144.17c	519	501	576	519	480	393	685	626	866
SPAC144.18	4197	4642	4324	4183	4486	4708	4567	5641	5000
SPAC1486.01	5144	5860	5453	5176	5192	5402	5375	6313	5692
SPAC1486.02c	2854	3307	3245	3129	3313	3498	4262	4783	4646
SPAC1486.03c	1059	1274	1271	1402	1089	1045	1469	1607	2114
SPAC1486.04c	937	1202	1210	1306	1108	1053	1351	1359	1803
SPAC1486.05	4071	4309	4037	4366	3988	4379	3326	3534	4613
SPAC1486.06	5213	5619	5169	5498	5160	5132	3333	3358	3912
SPAC1486.07c	1172	1185	1142	1173	1088	1142	1295	1474	1307
SPAC1486.08	520	638	699	707	468	460	1262	1353	1502
SPAC1486.09	1205	1599	1775	1732	1418	1300	1903	1948	2528
SPAC1486.10	4042	3965	3846	4355	3713	3876	2924	3053	3445
SPAC1486.11	231	243	297	294	235	181	383	466	491
SPAC14C4.01c	1032	1207	1248	1227	1211	1200	1541	1806	1967
SPAC14C4.02c	1003	1237	1368	1034	934	939	1942	1887	2022
SPAC14C4.03	11	11	15	4	11	10	44	52	37
SPAC14C4.04	3238	3540	3598	3368	3299	3339	4790	5734	4785
SPAC14C4.05c	1652	1796	1660	1903	1578	1764	1304	1455	1593
SPAC14C4.06c	2067	2154	2042	2235	2416	2308	1645	1917	2201
SPAC14C4.07	3147	3770	3361	3140	3134	3343	4790	5719	5076
SPAC14C4.08	173	210	212	182	185	217	175	244	188
SPAC14C4.09	4998	5047	5259	6414	5655	6001	4044	4471	4209
SPAC14C4.10c	542	532	525	647	634	625	949	1118	865
SPAC14C4.11	9645	10032	9661	12707	12758	13234	5957	6422	5850
SPAC14C4.12c	1296	1353	1433	1561	1569	1662	1323	1624	1311
SPAC14C4.13	576	791	761	770	572	563	1183	1165	1510
SPAC14C4.14	13730	15388	14769	17499	17690	18337	11886	12943	14082
SPAC14C4.15c	1972	2019	1876	2292	1845	2028	1572	1752	1860
SPAC14C4.16	368	365	391	301	288	234	197	254	289
SPAC1527.01	1336	1381	1353	1515	1434	1547	1290	1426	1447
SPAC1527.02	994	1049	1185	1143	1141	1162	1613	1916	2034
SPAC1527.03	2269	2658	2493	2438	2039	2122	2989	3081	3604
SPAC1556.01c	252	336	349	332	280	266	595	616	785
SPAC1556.02c	19440	22586	21564	22898	23214	23662	20025	21224	18574
SPAC1556.03	2724	2883	2628	3241	2763	2879	2125	2367	2510
SPAC1556.04c	102	103	117	138	91	96	182	202	260
SPAC1556.05c	846	1043	1111	932	718	772	1410	1556	1451
SPAC1556.06	29	34	41	61	42	49	132	155	113
SPAC1556.06	0	0	0	0	0	0	0	0	0
SPAC1556.07	10317	11041	10561	11270	11102	11460	11090	12008	11720
SPAC1556.08c	4725	4704	4533	4854	4571	4864	2830	3093	3542
SPAC1565.01	6287	6510	6395	6391	6363	7094	4014	4580	4162
SPAC1565.02c	798	857	807	1068	999	979	507	549	710
SPAC1565.03	232	189	218	244	216	198	238	222	241
SPAC1565.04c	242	334	355	274	222	165	220	194	274
SPAC1565.05	2559	2628	2420	2903	2575	2648	1920	2130	2659
SPAC1565.06c	907	961	895	993	946	1010	1160	1279	1271
SPAC1565.07c	669	775	719	789	679	643	736	766	1204
SPAC1565.08	15960	17850	15618	14066	14442	15221	14474	15207	18419
SPAC15A10.01	2181	2269	2100	1927	1883	1946	2106	2433	2494
SPAC15A10.02	988	1294	1339	1380	1251	1148	1918	2057	2732
SPAC15A10.03c	945	1017	841	1003	864	783	737	807	981
SPAC15A10.04c	3027	3495	3639	3788	3392	3114	4035	4043	6116
SPAC15A10.05c	355	389	389	270	282	276	490	601	532
SPAC15A10.06	1921	2169	2057	2486	2367	2514	2012	2252	2019
SPAC15A10.07	1553	1681	1557	1397	1378	1473	1440	1672	1889
SPAC15A10.08	604	672	774	738	610	533	979	980	1163
SPAC15A10.09c	2422	2723	2515	2416	2332	2467	4001	5220	4090
SPAC15A10.10	202	221	250	226	156	167	534	577	677
SPAC15A10.11	5457	5754	5444	4949	4486	4872	4116	4287	4825
SPAC15A10.12c	312	358	413	394	302	294	760	828	847
SPAC15A10.13	1242	1469	1487	2101	1716	1591	1423	1556	2087
SPAC15A10.15	609	739	791	715	584	647	850	935	1224
SPAC15A10.16	1496	1785	1783	1866	1716	1841	1769	1948	2082
SPAC15A10.17	2245	2420	2318	2639	2754	2899	3525	4560	4021
SPAC15E1.02c	303	381	378	151	157	181	356	464	308
SPAC15E1.03	10797	13364	13170	11770	10858	10597	17988	20391	18412
SPAC15E1.04	2715	2891	2832	3061	2805	2991	2522	2745	2771
SPAC15E1.05c	1557	1616	1511	1909	1787	1698	1031	1101	1183
SPAC15E1.06	1192	1221	1281	1354	1125	1154	1287	1602	1573
SPAC15E1.07c	0	0	4	1	1	0	3	0	0
SPAC15E1.08	695	802	862	741	695	686	1656	1672	1784
SPAC15E1.09	985	989	1045	924	925	903	1180	1484	1571
SPAC15E1.10	201	227	203	234	183	197	331	377	402
SPAC15F9.01c	38	39	47	24	20	23	79	82	156
SPAC15F9.02	1209	1323	1375	1625	1272	1196	1698	1771	2208
SPAC15F9.03c	3829	4032	3945	3966	3796	3994	5101	5810	5486
SPAC16.01	1161	1191	1290	1411	1400	1388	2059	2372	1935
SPAC16.02c	10928	12543	12581	11735	11990	13885	7745	8796	9646
SPAC16.03c	1678	1781	1828	2020	1916	1982	1538	1803	1779
SPAC16.04	1403	1579	1750	1891	1664	1505	1526	1715	2278
SPAC16.05c	2807	2747	2655	2860	3115	3474	3413	3799	2292
SPAC1610.01	250	306	341	304	309	286	431	511	520
SPAC1610.02c	786	912	967	873	706	706	933	1179	1453
SPAC1610.03c	14	28	30	10	14	17	16	19	28
SPAC1610.04	1201	1303	1099	1255	1108	1194	870	972	1132
SPAC1635.01	14344	16580	16364	14872	16100	16492	23673	28389	23645
SPAC1639.01c	11948	12611	12179	13377	12493	13144	10395	11693	10114
SPAC1639.02c	1892	2089	2044	2283	1949	2160	1826	2086	2276
SPAC167.01	1989	2130	2054	2285	1996	2119	2117	2265	2161
SPAC167.02	750	788	800	782	785	734	958	1105	1293
SPAC167.03c	541	722	764	785	591	604	940	984	1143
SPAC167.04	1276	1467	1588	1609	1449	1311	1874	2295	2650
SPAC167.05	1335	1465	1376	1595	1459	1391	1140	1190	1585
SPAC167.06c	124	150	133	125	119	129	193	246	293
SPAC167.07c	1619	1688	1593	1489	1352	1441	1723	1807	2286
SPAC167.08	51	64	71	25	17	20	119	123	159
SPAC167.09	321	314	331	305	307	319	423	387	399
SPAC1687.01	2187	2174	2017	2434	2126	2111	2085	2325	2436
SPAC1687.02	1442	1523	1506	1734	1683	1782	1610	1866	1746
SPAC1687.03c	971	1238	1280	1215	1089	1001	1165	1274	1683
SPAC1687.04	430	454	414	689	663	648	284	313	339
SPAC1687.05	2042	2244	2114	2124	1802	1848	1921	1988	2363
SPAC1687.06c	34800	39915	39781	36038	36861	37646	48619	52317	47880
SPAC1687.07	527	638	588	654	575	631	936	969	1184
SPAC1687.08	248	247	265	315	298	292	402	444	534
SPAC1687.09	3938	4319	3974	3789	3490	3601	3199	3498	3810
SPAC1687.10	550	705	791	789	688	615	729	828	947
SPAC1687.11	2518	2959	3060	3004	2576	2521	3121	3273	4071
SPAC1687.12c	1130	1328	1326	1462	1338	1313	1238	1411	1493
SPAC1687.13c	290	371	462	444	369	363	680	697	741
SPAC1687.14c	352	382	372	406	370	384	633	656	738
SPAC1687.15	5062	5544	5316	5789	5776	6247	6854	7888	7014
SPAC1687.16c	4908	5586	5438	5628	5454	5823	5220	5646	5386
SPAC1687.17c	971	1016	1027	1074	1157	1134	705	886	1034
SPAC1687.18c	966	1153	1107	1309	1016	947	890	1001	1323
SPAC1687.19c	2307	2311	2147	2404	2109	2149	1497	1689	1697
SPAC1687.20c	526	556	509	631	540	500	427	449	581
SPAC1687.21	3569	3520	3837	4641	3835	3596	4301	4217	4348
SPAC1687.22c	1427	1497	1513	1514	1368	1520	2043	2416	2085
SPAC1687.23c	0	0	0	0	0	0	3	1	5
SPAC16A10.01	1220	1210	1181	1234	1235	1265	1458	1741	1302
SPAC16A10.02	433	603	647	631	474	528	862	846	1199
SPAC16A10.03c	1394	1402	1287	1434	1179	1245	946	1142	1320
SPAC16A10.04	1465	1641	1634	1539	1353	1532	1184	1307	1330
SPAC16A10.05c	77	112	111	94	68	75	198	233	252
SPAC16A10.06c	266	352	365	325	297	276	485	519	565
SPAC16A10.07c	811	984	1083	1054	847	860	1076	1223	1600
SPAC16A10.08c	157	188	190	180	127	139	321	339	350
SPAC16C9.01c	453	563	558	732	619	527	721	749	978
SPAC16C9.02c	5049	5541	5575	5549	4982	5142	5586	6407	6189
SPAC16C9.03	3077	3156	3009	3596	3234	3342	3019	3258	3732
SPAC16C9.04c	1133	1340	1414	1398	1254	1302	1333	1492	2015
SPAC16C9.05	2635	3053	2777	2682	2616	2848	1918	2265	2485
SPAC16C9.06c	3247	3221	2961	3364	2986	3094	2373	2499	3205
SPAC16C9.07	1005	1042	1213	1377	1167	1180	1048	1162	1764
SPAC16E8.01	6791	7732	7280	7595	7783	8164	8643	9898	9821
SPAC16E8.02	564	554	506	617	575	628	587	752	759
SPAC16E8.03	107	134	132	149	177	162	198	176	172
SPAC16E8.04c	2018	2144	1946	2221	2204	2297	2188	2276	2454
SPAC16E8.05c	23	30	30	29	20	14	46	36	41
SPAC16E8.06c	1390	1814	1928	1825	1466	1501	2132	2294	2983
SPAC16E8.07c	8099	8839	8211	8826	8645	9394	9981	10968	10410
SPAC16E8.08	812	868	891	971	943	982	807	913	942
