,measurement,mw,mw_val_adjusted,p-value,n_sticky,n_non_sticky,index,fdr
smgrowth.UV.124.8.J.m2,smgrowth.UV.124.8.J.m2,153.5,0.2524671052631579,0.09256064624138144,4,152,59,0.16629539833197343
2percent_Maltose_150mM_NaCl,2percent_Maltose_150mM_NaCl,50.0,0.24509803921568626,0.09611353007579423,4,51,60,0.1670169539021998
2percent_Sucrose,2percent_Sucrose,50.0,0.24509803921568626,0.09611353007579423,4,51,61,0.1670169539021998
2ug.ml_calcofluor_150mM_NaCl,2ug.ml_calcofluor_150mM_NaCl,51.0,0.25,0.10323848059697117,4,51,62,0.17650449908514426
1x_Antimycin,1x_Antimycin,52.0,0.2549019607843137,0.11076805793786927,4,51,63,0.18637165303831973
20mM_Lysine,20mM_Lysine,53.0,0.25980392156862747,0.11867294131445076,4,51,64,0.19655205905205908
20mM_Aspartate,20mM_Aspartate,56.0,0.27450980392156865,0.1449033147146355,4,51,65,0.2363038670730979
smgrowth.CaCl2.150.mM,smgrowth.CaCl2.150.mM,85.0,0.24853801169590642,0.14796447929881215,3,114,66,0.23763992129809225
10mM_HU_0.0075percent_MMS,10mM_HU_0.0075percent_MMS,57.0,0.27941176470588236,0.15448534693817714,4,51,67,0.24440965336487727
smgrowth.DTT.0.4percent,smgrowth.DTT.0.4percent,181.5,0.29851973684210525,0.17129297200522853,4,152,68,0.26701551518462097
smgrowth.MgCl2.0.2.M,smgrowth.MgCl2.0.2.M,93.0,0.2719298245614035,0.18141593717493032,3,114,69,0.277575319828841
2ug.ml_calcofluor_5mM_LiCl,2ug.ml_calcofluor_5mM_LiCl,60.0,0.29411764705882354,0.18592309158346895,4,51,70,0.277575319828841
2percent_Galactose,2percent_Galactose,60.0,0.29411764705882354,0.18592309158346895,4,51,71,0.277575319828841
smgrowth.maltose.2percent,smgrowth.maltose.2percent,187.0,0.30756578947368424,0.1914370668618507,4,152,72,0.28183790399105796
2percent_Glycerol_2.5g.l_NaAc,2percent_Glycerol_2.5g.l_NaAc,63.0,0.3088235294117647,0.22141883273958746,4,51,73,0.32151227767666124
smgrowth.Brefeldin.A.40.uM,smgrowth.Brefeldin.A.40.uM,411.5,0.6768092105263158,0.23015037558866813,4,152,74,0.3296748623297138
